# JD, Flux, Uncertainty
2.457424770351129118e+06 1.007660197038838357e+00 3.309544195833683238e-04
2.457424772377058864e+06 1.007529803502820620e+00 3.309554431920957800e-04
2.457424774402238894e+06 1.007906901173296399e+00 3.310355197420865314e-04
2.457424776427798904e+06 1.008494005381236791e+00 3.311637269922266592e-04
2.457424778452988714e+06 1.007214323636190345e+00 3.309860508608922312e-04
2.457424780478909146e+06 1.007647417467912421e+00 3.310679259803947310e-04
2.457424782504098956e+06 1.008187687076767869e+00 3.311727571919523879e-04
2.457424784529648721e+06 1.007742172936756164e+00 3.310818937735578193e-04
2.457424786554838996e+06 1.008197485812779126e+00 3.311531436461510641e-04
2.457424788580758963e+06 1.007695538933629509e+00 3.310545865179281432e-04
2.457424790605948772e+06 1.007773243091604654e+00 3.310985099052355957e-04
2.457424792631499004e+06 1.008400082911779627e+00 3.311860546168306674e-04
2.457424794656688813e+06 1.008127024761224844e+00 3.311389185875544101e-04
2.457424796682608780e+06 1.007554708687568468e+00 3.310601641334274896e-04
2.457424798707799055e+06 1.007926150615259697e+00 3.311080005063072782e-04
2.457424800733359065e+06 1.008304764970521683e+00 3.311813872119184527e-04
2.457424836624469142e+06 9.930476914551702450e-01 3.286428152948065763e-04
2.457424838650018908e+06 9.931675400644408569e-01 3.286687163106535381e-04
2.457424840675208718e+06 9.931022889423933853e-01 3.286903121755611434e-04
2.457424842701129150e+06 9.927713797008699270e-01 3.286160352184458889e-04
2.457424844726318959e+06 9.924155074616883843e-01 3.285844850451617879e-04
2.457424846751868725e+06 9.925985369384120460e-01 3.286187029896740991e-04
2.457424848777059000e+06 9.927313315309782560e-01 3.286270488131163734e-04
2.457424850802988745e+06 9.923388677632613009e-01 3.285388742420700852e-04
2.457424852828168776e+06 9.919580939000197661e-01 3.284909529645366221e-04
2.457424854853728786e+06 9.919276398698956276e-01 3.284821280050995791e-04
2.457424856878908817e+06 9.918739449991017532e-01 3.284797348439551191e-04
2.457424858904839028e+06 9.921249285311181110e-01 3.285106891842630547e-04
2.457424860930019058e+06 9.913010050742211421e-01 3.283868499618378470e-04
2.457424862955579069e+06 9.916014782958226803e-01 3.284317144935387290e-04
2.457424864980759099e+06 9.921309732864141973e-01 3.285171989848226096e-04
2.457424867006688844e+06 9.919300837026541195e-01 3.285252117177892180e-04
2.457424902909278870e+06 9.920295860046840497e-01 3.284427638426366813e-04
2.457424904934469145e+06 9.919555450279081699e-01 3.284649205885207157e-04
2.457424906960389111e+06 9.921152871426708320e-01 3.285418823023160168e-04
2.457424908985578921e+06 9.916432747882863996e-01 3.284442866079639802e-04
2.457424911011129152e+06 9.914599829995902613e-01 3.284320278048395692e-04
2.457424913036318962e+06 9.916863150815030670e-01 3.284686963255581947e-04
2.457424915062238928e+06 9.917098991816238884e-01 3.284904069595875236e-04
2.457424917087428737e+06 9.927463749195247766e-01 3.286040687730100462e-04
2.457424919112988748e+06 9.918399783253543101e-01 3.285034842816518985e-04
2.457424921138168778e+06 9.922787611050783996e-01 3.285359593385595717e-04
2.457424923164098989e+06 9.919975270241464527e-01 3.285038313743038818e-04
2.457424925189279020e+06 9.928238929744515051e-01 3.286282750407115857e-04
2.457424927214839030e+06 9.934060454442993349e-01 3.287227191949366112e-04
2.457424931265948806e+06 9.934939047718818195e-01 3.287715187380244866e-04
2.457424933291128837e+06 9.960159145671280134e-01 3.292088001984762161e-04
2.457424971219649073e+06 1.007358070067523759e+00 3.309895157889955648e-04
2.457424973244838882e+06 1.007576795256954982e+00 3.310880928305584515e-04
2.457424975270389114e+06 1.007487376584715433e+00 3.310614680593589650e-04
2.457424977295578923e+06 1.007338500135265491e+00 3.310571676624741262e-04
2.457424979321498889e+06 1.007408825386520101e+00 3.310654032404562329e-04
2.457424981346689165e+06 1.007047678341072450e+00 3.309936403847541972e-04
2.457424983372238930e+06 1.007367511929454507e+00 3.310479262030635215e-04
2.457424985397428740e+06 1.007252128597994734e+00 3.310282893826095932e-04
2.457424987423358951e+06 1.007329463838672723e+00 3.310229762326235919e-04
2.457424989448538981e+06 1.007572151990894893e+00 3.310613801911302129e-04
2.457424991474098992e+06 1.007074791297514427e+00 3.310295114572566920e-04
2.457424993499279022e+06 1.007274541625424513e+00 3.310416934462113319e-04
2.457424995525208768e+06 1.007129440037368706e+00 3.309974807618587924e-04
2.457424997550388798e+06 1.006911588243425859e+00 3.309743395646927086e-04
2.457424999575948808e+06 1.007286047794413442e+00 3.310338101198779192e-04
