# JD, Flux, Uncertainty
2.457424770351129118e+06 1.008030401687287192e+00 3.013863989875715014e-04
2.457424772377058864e+06 1.007211563147906386e+00 3.012838686795241009e-04
2.457424774402238894e+06 1.007891576313568960e+00 3.014002516282583309e-04
2.457424776427798904e+06 1.008081020462684441e+00 3.014583965824285715e-04
2.457424778452988714e+06 1.007911087343695833e+00 3.014571866483120783e-04
2.457424780478909146e+06 1.008163395111782323e+00 3.015042552964218255e-04
2.457424782504098956e+06 1.008363097553157006e+00 3.015482043532977997e-04
2.457424784529648721e+06 1.006966143859906904e+00 3.013157346728057430e-04
2.457424786554838996e+06 1.007586680047794392e+00 3.013980072364423244e-04
2.457424788580758963e+06 1.007659923169845317e+00 3.013932655521495032e-04
2.457424790605948772e+06 1.007838893417846604e+00 3.014420636425136409e-04
2.457424792631499004e+06 1.007465349596650794e+00 3.013727500284596418e-04
2.457424794656688813e+06 1.007022000183089627e+00 3.013063802300983748e-04
2.457424796682608780e+06 1.008156629770028401e+00 3.014855059771288925e-04
2.457424798707799055e+06 1.007809462239602549e+00 3.014274418699650960e-04
2.457424800733359065e+06 1.007674237346115831e+00 3.014198864665754195e-04
2.457424836624469142e+06 9.933081060522823691e-01 2.992882288630128356e-04
2.457424838650018908e+06 9.929669340264534183e-01 2.992398355445765332e-04
2.457424840675208718e+06 9.929257221926707233e-01 2.992644062784048393e-04
2.457424842701129150e+06 9.924758878863008116e-01 2.991756629311043744e-04
2.457424844726318959e+06 9.925644546260794510e-01 2.992136620209187125e-04
2.457424846751868725e+06 9.922575358813092716e-01 2.991694580834909612e-04
2.457424848777059000e+06 9.916874587838687694e-01 2.990710208858143285e-04
2.457424850802988745e+06 9.924359165250182802e-01 2.991525821716070491e-04
2.457424852828168776e+06 9.914821648239439122e-01 2.990194131992862333e-04
2.457424854853728786e+06 9.913713380843929279e-01 2.989940160184884738e-04
2.457424856878908817e+06 9.914207544453954579e-01 2.990005613665057470e-04
2.457424858904839028e+06 9.920285420584254998e-01 2.990900835650528921e-04
2.457424860930019058e+06 9.915695476499336580e-01 2.990283370702465624e-04
2.457424862955579069e+06 9.915140980311285546e-01 2.990203753936837962e-04
2.457424864980759099e+06 9.915145882804495825e-01 2.990194449646643216e-04
2.457424867006688844e+06 9.916241285817267714e-01 2.990727724876338089e-04
2.457424902909278870e+06 9.918617510469110998e-01 2.990629766630372322e-04
2.457424904934469145e+06 9.918479126057939688e-01 2.990932243443568438e-04
2.457424906960389111e+06 9.912470117560950866e-01 2.990490055929544469e-04
2.457424908985578921e+06 9.918372289199630654e-01 2.991171396502250888e-04
2.457424911011129152e+06 9.915561727533709346e-01 2.990870369014863878e-04
2.457424913036318962e+06 9.921634296675699849e-01 2.991789256263662866e-04
2.457424915062238928e+06 9.924716519601509690e-01 2.992388100472807280e-04
2.457424917087428737e+06 9.924869480818244716e-01 2.991833684759709930e-04
2.457424919112988748e+06 9.921261418166500423e-01 2.991636007428876407e-04
2.457424921138168778e+06 9.919841772523871892e-01 2.991045212233933454e-04
2.457424923164098989e+06 9.924689697375728148e-01 2.991904931237278462e-04
2.457424925189279020e+06 9.932362024532147560e-01 2.992921009896914834e-04
2.457424927214839030e+06 9.924429020127376599e-01 2.991739584866491162e-04
2.457424931265948806e+06 9.942172799608823830e-01 2.994695486073288516e-04
2.457424933291128837e+06 9.963881717438726193e-01 2.998208993934999554e-04
2.457424971219649073e+06 1.007257437418854762e+00 3.014109929350112876e-04
2.457424973244838882e+06 1.007700562142867629e+00 3.015327123228402789e-04
2.457424975270389114e+06 1.007600875259530682e+00 3.015041705205817775e-04
2.457424977295578923e+06 1.007574108018428616e+00 3.015170251055638477e-04
2.457424979321498889e+06 1.007210354725583734e+00 3.014610126540194805e-04
2.457424981346689165e+06 1.007393631540760781e+00 3.014761174703720374e-04
2.457424983372238930e+06 1.007510796417800281e+00 3.014878693579185211e-04
2.457424985397428740e+06 1.007210738120348337e+00 3.014374117256805614e-04
2.457424987423358951e+06 1.007344721298277790e+00 3.014367662837130020e-04
2.457424989448538981e+06 1.008089347575058747e+00 3.015477195870335599e-04
2.457424991474098992e+06 1.008308615659730290e+00 3.016220272580969093e-04
2.457424993499279022e+06 1.007506836587974464e+00 3.014837138124542540e-04
2.457424995525208768e+06 1.007792064488006956e+00 3.015091589697876809e-04
2.457424997550388798e+06 1.007449390720190241e+00 3.014724099908691114e-04
2.457424999575948808e+06 1.008735929077251514e+00 3.016674350867424963e-04
