# JD, Flux, Uncertainty
2.457424770351129118e+06 1.008733245500083253e+00 2.966014147468348187e-04
2.457424772377058864e+06 1.007246390705603512e+00 2.964098268817678917e-04
2.457424774402238894e+06 1.007751857113133420e+00 2.964993631226999133e-04
2.457424776427798904e+06 1.007815269051689500e+00 2.965361019185403066e-04
2.457424778452988714e+06 1.008026628052300921e+00 2.965940149279540144e-04
2.457424780478909146e+06 1.007958492115071047e+00 2.965940237579733040e-04
2.457424782504098956e+06 1.009082796794728010e+00 2.967767026831101096e-04
2.457424784529648721e+06 1.007810216840159478e+00 2.965890998322028775e-04
2.457424786554838996e+06 1.007979375836705715e+00 2.966209216938299714e-04
2.457424788580758963e+06 1.008466762107133929e+00 2.966814934472329721e-04
2.457424790605948772e+06 1.008244510094223667e+00 2.966778898172116319e-04
2.457424792631499004e+06 1.007616704727868351e+00 2.965765530970221222e-04
2.457424794656688813e+06 1.007947060870715728e+00 2.966247740529295526e-04
2.457424796682608780e+06 1.008049144012130860e+00 2.966448635011720834e-04
2.457424798707799055e+06 1.007598838533513952e+00 2.965644308302437426e-04
2.457424800733359065e+06 1.007787915771719334e+00 2.965995119551746891e-04
2.457424836624469142e+06 9.930264354477057465e-01 2.943353455142147935e-04
2.457424838650018908e+06 9.928068770797564557e-01 2.943025779182282219e-04
2.457424840675208718e+06 9.924895701795766190e-01 2.942834519717557585e-04
2.457424842701129150e+06 9.926664263234187269e-01 2.942942746552203452e-04
2.457424844726318959e+06 9.924897069319043030e-01 2.942905027986041869e-04
2.457424846751868725e+06 9.922932163208875167e-01 2.942655485105746230e-04
2.457424848777059000e+06 9.917260594900658699e-01 2.941768447796982316e-04
2.457424850802988745e+06 9.923889801127263599e-01 2.942652054009302484e-04
2.457424852828168776e+06 9.928552636777834284e-01 2.943519857171245568e-04
2.457424854853728786e+06 9.917901132225380723e-01 2.942004985955660339e-04
2.457424856878908817e+06 9.924584973269430233e-01 2.943064122551445564e-04
2.457424858904839028e+06 9.918516129663369485e-01 2.942086718237537594e-04
2.457424860930019058e+06 9.911801054625954954e-01 2.941236303991288698e-04
2.457424862955579069e+06 9.916068723406241681e-01 2.941747282037891179e-04
2.457424864980759099e+06 9.911860498568172417e-01 2.941088917383227882e-04
2.457424867006688844e+06 9.914448357253317079e-01 2.941781641407297909e-04
2.457424902909278870e+06 9.915979478324083995e-01 2.940520513627866328e-04
2.457424904934469145e+06 9.912684839497406530e-01 2.940259301559006036e-04
2.457424906960389111e+06 9.917044447692390241e-01 2.941346075510044462e-04
2.457424908985578921e+06 9.916503244755290325e-01 2.941102935204629142e-04
2.457424911011129152e+06 9.918067064881080919e-01 2.941504974798257472e-04
2.457424913036318962e+06 9.920414191436477402e-01 2.941834725528219043e-04
2.457424915062238928e+06 9.920288792336343642e-01 2.942034382106631656e-04
2.457424917087428737e+06 9.919996835897834098e-01 2.941700419600829885e-04
2.457424919112988748e+06 9.921890884153067303e-01 2.942412886120471206e-04
2.457424921138168778e+06 9.925068897685906943e-01 2.942594527133176284e-04
2.457424923164098989e+06 9.927029199750816435e-01 2.943039522214059372e-04
2.457424925189279020e+06 9.927773786258792255e-01 2.943087623836512334e-04
2.457424927214839030e+06 9.928251740951288262e-01 2.943125453366601850e-04
2.457424931265948806e+06 9.942546319328920967e-01 2.945511766834304655e-04
2.457424933291128837e+06 9.965754746933298547e-01 2.949070828345507563e-04
2.457424971219649073e+06 1.006705252458147903e+00 2.962570310079538742e-04
2.457424973244838882e+06 1.007011876832546227e+00 2.963533498667964092e-04
2.457424975270389114e+06 1.007913642109438124e+00 2.964772316537308801e-04
2.457424977295578923e+06 1.007251960424937254e+00 2.964008599385207230e-04
2.457424979321498889e+06 1.007106099113769471e+00 2.963761271126250552e-04
2.457424981346689165e+06 1.007571128362300339e+00 2.964330403917340919e-04
2.457424983372238930e+06 1.007291346398670351e+00 2.964084450730382781e-04
2.457424985397428740e+06 1.007259790033122826e+00 2.964087037058494092e-04
2.457424987423358951e+06 1.006857380078925779e+00 2.963445571772867649e-04
2.457424989448538981e+06 1.007215235219301119e+00 2.963995327122693492e-04
2.457424991474098992e+06 1.007503879210522424e+00 2.964835107335609126e-04
2.457424993499279022e+06 1.007221320783380891e+00 2.964304722843018151e-04
2.457424995525208768e+06 1.007161934864416297e+00 2.963993794752973012e-04
2.457424997550388798e+06 1.007455003682069750e+00 2.964428728039037548e-04
2.457424999575948808e+06 1.008168872848367759e+00 2.965425676264449328e-04
