# JD, Flux, Uncertainty
2.457424770351129118e+06 1.007066981881189260e+00 3.035919897042477287e-04
2.457424772377058864e+06 1.007604033329027482e+00 3.037061764841145900e-04
2.457424774402238894e+06 1.007636610444750058e+00 3.037292420579394258e-04
2.457424776427798904e+06 1.007421985439555856e+00 3.037226828778765634e-04
2.457424778452988714e+06 1.007546358797303254e+00 3.037769658077542605e-04
2.457424780478909146e+06 1.007867872231848594e+00 3.038344229993171107e-04
2.457424782504098956e+06 1.007967457349668416e+00 3.038746424574073537e-04
2.457424784529648721e+06 1.007250024293683044e+00 3.038015574668714120e-04
2.457424786554838996e+06 1.007484280366194529e+00 3.038692279243507938e-04
2.457424788580758963e+06 1.007364478610561553e+00 3.038476072728145470e-04
2.457424790605948772e+06 1.007633718281940149e+00 3.039291785270946747e-04
2.457424792631499004e+06 1.007446171334784424e+00 3.038978682837189800e-04
2.457424794656688813e+06 1.007654556449563810e+00 3.039283788308719128e-04
2.457424796682608780e+06 1.007588825191407356e+00 3.039177268890688581e-04
2.457424798707799055e+06 1.007198461363733699e+00 3.038317687499078189e-04
2.457424800733359065e+06 1.007496305809221226e+00 3.038770508818512271e-04
2.457424836624469142e+06 9.931699946524359390e-01 3.014459880609237806e-04
2.457424838650018908e+06 9.928906006331704726e-01 3.014005610283238489e-04
2.457424840675208718e+06 9.927645663003664689e-01 3.014060699934018018e-04
2.457424842701129150e+06 9.928016781099444632e-01 3.014060155449746980e-04
2.457424844726318959e+06 9.929252411739480921e-01 3.014434087282719652e-04
2.457424846751868725e+06 9.918688494355142327e-01 3.012945937879896088e-04
2.457424848777059000e+06 9.925414452563893208e-01 3.014008983732492804e-04
2.457424850802988745e+06 9.915138880730269832e-01 3.012708931931151399e-04
2.457424852828168776e+06 9.921023255579247691e-01 3.013953115416684769e-04
2.457424854853728786e+06 9.916109913624400196e-01 3.013458402027314543e-04
2.457424856878908817e+06 9.914840031583007640e-01 3.013508926475273264e-04
2.457424858904839028e+06 9.918792710249584310e-01 3.013870996352626796e-04
2.457424860930019058e+06 9.922211998270512590e-01 3.014633108527160418e-04
2.457424862955579069e+06 9.920154740509854463e-01 3.014023222656209665e-04
2.457424864980759099e+06 9.911091567547889447e-01 3.012567075928794893e-04
2.457424867006688844e+06 9.914524932548646197e-01 3.013333237111341070e-04
2.457424902909278870e+06 9.916799390656206858e-01 3.010422473210625643e-04
2.457424904934469145e+06 9.917047634721359861e-01 3.010534317152175764e-04
2.457424906960389111e+06 9.917090277200182324e-01 3.011000066468928348e-04
2.457424908985578921e+06 9.916528794606190855e-01 3.010811991277251320e-04
2.457424911011129152e+06 9.913662604682046409e-01 3.010654574552653912e-04
2.457424913036318962e+06 9.920804311011511833e-01 3.011671276223760714e-04
2.457424915062238928e+06 9.919975185669722695e-01 3.011905509385393725e-04
2.457424917087428737e+06 9.922973803650106950e-01 3.012505972225656492e-04
2.457424919112988748e+06 9.923486907729905937e-01 3.013205907138944068e-04
2.457424921138168778e+06 9.923096420654988759e-01 3.013008980327628499e-04
2.457424923164098989e+06 9.924146660253669872e-01 3.013357271036570828e-04
2.457424925189279020e+06 9.926954843874102874e-01 3.013835277697159078e-04
2.457424927214839030e+06 9.927860481633222767e-01 3.013861553504217669e-04
2.457424931265948806e+06 9.944434594657911575e-01 3.016626398934833201e-04
2.457424933291128837e+06 9.966108571458786036e-01 3.019850024614212608e-04
2.457424971219649073e+06 1.007418492539931432e+00 3.032878155049253195e-04
2.457424973244838882e+06 1.007847783152355348e+00 3.033994418527338581e-04
2.457424975270389114e+06 1.007858219260848287e+00 3.034050439436977741e-04
2.457424977295578923e+06 1.008094752114544690e+00 3.034660216629598488e-04
2.457424979321498889e+06 1.007599151980453245e+00 3.033869345976130034e-04
2.457424981346689165e+06 1.007346162661134858e+00 3.033407301800105640e-04
2.457424983372238930e+06 1.007281665936364146e+00 3.033841826256075832e-04
2.457424985397428740e+06 1.008072463289164222e+00 3.035269893523202638e-04
2.457424987423358951e+06 1.008067002469605455e+00 3.035433095786089813e-04
2.457424989448538981e+06 1.007683390896903175e+00 3.034917278377370457e-04
2.457424991474098992e+06 1.007568893226517659e+00 3.035208056043080293e-04
2.457424993499279022e+06 1.008313967622161744e+00 3.036301948715410958e-04
2.457424995525208768e+06 1.007474354164749730e+00 3.034730263175983416e-04
2.457424997550388798e+06 1.008463443271827575e+00 3.036000999956568356e-04
2.457424999575948808e+06 1.008233909366906156e+00 3.035452498884720651e-04
