# JD, Flux, Uncertainty
2.457424770351129118e+06 1.008149204865656179e+00 3.099185821380910514e-04
2.457424772377058864e+06 1.008769917604553701e+00 3.100375954453438426e-04
2.457424774402238894e+06 1.007717572024928954e+00 3.098942399419430619e-04
2.457424776427798904e+06 1.007730103948416556e+00 3.099255865988572280e-04
2.457424778452988714e+06 1.009586078404905551e+00 3.102361650000241442e-04
2.457424780478909146e+06 1.007615512975603256e+00 3.099477550478415026e-04
2.457424782504098956e+06 1.007640428573050029e+00 3.099702770216520523e-04
2.457424784529648721e+06 1.007925263442195352e+00 3.100069869698777189e-04
2.457424786554838996e+06 1.007646008755253009e+00 3.099695666999681474e-04
2.457424788580758963e+06 1.007880509470525876e+00 3.099927565044907065e-04
2.457424790605948772e+06 1.007447758530866322e+00 3.099572899080105487e-04
2.457424792631499004e+06 1.007960009664386369e+00 3.100239169302919308e-04
2.457424794656688813e+06 1.007499931127281423e+00 3.099532004159649299e-04
2.457424796682608780e+06 1.008066653521809686e+00 3.100474280306229707e-04
2.457424798707799055e+06 1.007499211556909025e+00 3.099466242266669556e-04
2.457424800733359065e+06 1.008564461270185175e+00 3.101170946271879746e-04
2.457424836624469142e+06 9.930728485858116850e-01 3.076560185158032129e-04
2.457424838650018908e+06 9.930487616799855699e-01 3.076539148071425985e-04
2.457424840675208718e+06 9.929138248644091558e-01 3.076622574652971252e-04
2.457424842701129150e+06 9.927567307142276531e-01 3.076219327621186302e-04
2.457424844726318959e+06 9.927715361504071412e-01 3.076477356770470901e-04
2.457424846751868725e+06 9.932175368206991317e-01 3.077203473444705567e-04
2.457424848777059000e+06 9.919088618241662658e-01 3.075120777882698773e-04
2.457424850802988745e+06 9.917727552027912896e-01 3.074786851513156461e-04
2.457424852828168776e+06 9.921971593579562709e-01 3.075614345773713541e-04
2.457424854853728786e+06 9.922564873795147733e-01 3.075729826728145822e-04
2.457424856878908817e+06 9.917134388027242231e-01 3.074978989644172839e-04
2.457424858904839028e+06 9.917314709812254936e-01 3.074907921517510399e-04
2.457424860930019058e+06 9.919019372792526879e-01 3.075300482165677063e-04
2.457424862955579069e+06 9.915289333269715621e-01 3.074630774835355996e-04
2.457424864980759099e+06 9.917666096784945040e-01 3.074961613622654937e-04
2.457424867006688844e+06 9.912809454363005202e-01 3.074561312877262470e-04
2.457424902909278870e+06 9.918566777604201912e-01 3.074054866134096845e-04
2.457424904934469145e+06 9.913822213006213691e-01 3.073586421352546717e-04
2.457424906960389111e+06 9.913981050087684599e-01 3.074080497540454017e-04
2.457424908985578921e+06 9.914873887537161146e-01 3.074042339643842702e-04
2.457424911011129152e+06 9.914000585579973990e-01 3.074085077242724642e-04
2.457424913036318962e+06 9.914663462769617297e-01 3.074176450352833663e-04
2.457424915062238928e+06 9.919846747650850061e-01 3.075179456064223646e-04
2.457424917087428737e+06 9.924838302768379528e-01 3.075580887868755147e-04
2.457424919112988748e+06 9.916838404044815425e-01 3.074808729854461428e-04
2.457424921138168778e+06 9.925673814952442608e-01 3.075847341197012418e-04
2.457424923164098989e+06 9.924997577165645124e-01 3.075898346548013138e-04
2.457424925189279020e+06 9.928118155115380761e-01 3.076304328177516170e-04
2.457424927214839030e+06 9.929349052602666204e-01 3.076462662218025393e-04
2.457424931265948806e+06 9.939878685906154976e-01 3.078386842789049174e-04
2.457424933291128837e+06 9.961983356665546907e-01 3.081954978469102755e-04
2.457424971219649073e+06 1.007143631298882402e+00 3.097503181269283044e-04
2.457424973244838882e+06 1.007278364790651359e+00 3.098267454169806616e-04
2.457424975270389114e+06 1.007589409308047967e+00 3.098653604571939210e-04
2.457424977295578923e+06 1.007805584161527435e+00 3.099182684764647026e-04
2.457424979321498889e+06 1.007518069138558126e+00 3.098711990927144572e-04
2.457424981346689165e+06 1.007394700154322642e+00 3.098408403908800698e-04
2.457424983372238930e+06 1.006767435448863379e+00 3.097582635105264261e-04
2.457424985397428740e+06 1.007495878775749532e+00 3.098724181011983472e-04
2.457424987423358951e+06 1.007623696133256530e+00 3.098828286210367883e-04
2.457424989448538981e+06 1.007313072346496696e+00 3.098373305536050856e-04
2.457424991474098992e+06 1.007553054588015584e+00 3.099186993909438235e-04
2.457424993499279022e+06 1.007179766005770860e+00 3.098472521884324937e-04
2.457424995525208768e+06 1.006991310790837257e+00 3.097962481537286177e-04
2.457424997550388798e+06 1.007394189612579982e+00 3.098616653246586816e-04
2.457424999575948808e+06 1.007270166279304657e+00 3.098392427023895571e-04
