# JD, Flux, Uncertainty
2.457424770351129118e+06 1.008618979596674237e+00 3.077800127276018611e-04
2.457424772377058864e+06 1.007630092866523386e+00 3.076494174970407450e-04
2.457424774402238894e+06 1.008232898100112296e+00 3.077559924968070672e-04
2.457424776427798904e+06 1.007909098206143828e+00 3.077384618496926592e-04
2.457424778452988714e+06 1.008545607076016370e+00 3.078585820273662906e-04
2.457424780478909146e+06 1.008350567058480918e+00 3.078394602593158670e-04
2.457424782504098956e+06 1.007951074100685851e+00 3.077955372666844598e-04
2.457424784529648721e+06 1.007772282172621381e+00 3.077405649381516838e-04
2.457424786554838996e+06 1.007595656094725678e+00 3.077041989330713575e-04
2.457424788580758963e+06 1.007943700780381091e+00 3.077405009007763465e-04
2.457424790605948772e+06 1.007907173401359380e+00 3.077581930189395259e-04
2.457424792631499004e+06 1.007959470074593522e+00 3.077508386165561075e-04
2.457424794656688813e+06 1.007476242433727798e+00 3.076774391522597114e-04
2.457424796682608780e+06 1.008153300874178315e+00 3.077909099837227661e-04
2.457424798707799055e+06 1.008683548768994909e+00 3.078631633901629072e-04
2.457424800733359065e+06 1.008270293739330414e+00 3.078145434252926166e-04
2.457424836624469142e+06 9.932908045803947594e-01 3.055505872442732017e-04
2.457424838650018908e+06 9.928092881728179941e-01 3.054805569168703226e-04
2.457424840675208718e+06 9.932923708022743936e-01 3.055848294158437523e-04
2.457424842701129150e+06 9.923915980844471019e-01 3.054267726745610247e-04
2.457424844726318959e+06 9.919639169813818658e-01 3.053871332596151027e-04
2.457424846751868725e+06 9.923661114232795732e-01 3.054489890060327708e-04
2.457424848777059000e+06 9.917244724790105215e-01 3.053372551115824470e-04
2.457424850802988745e+06 9.923869473503004190e-01 3.054057818801709807e-04
2.457424852828168776e+06 9.925442439811348327e-01 3.054380970951085903e-04
2.457424854853728786e+06 9.919681885025287693e-01 3.053411590484964217e-04
2.457424856878908817e+06 9.916031441655840384e-01 3.052849470214348093e-04
2.457424858904839028e+06 9.924593421557842410e-01 3.054129911189800415e-04
2.457424860930019058e+06 9.918016620943153061e-01 3.053192110281793283e-04
2.457424862955579069e+06 9.917936814201128159e-01 3.053190645561694059e-04
2.457424864980759099e+06 9.918158716490486082e-01 3.053220250725943523e-04
2.457424867006688844e+06 9.913801344827514184e-01 3.052945304771718005e-04
2.457424902909278870e+06 9.920388875245994553e-01 3.053580399265550492e-04
2.457424904934469145e+06 9.912429309110996067e-01 3.052714130087994947e-04
2.457424906960389111e+06 9.915665637693803491e-01 3.053673574291420755e-04
2.457424908985578921e+06 9.910674209609489083e-01 3.052704445219915456e-04
2.457424911011129152e+06 9.915167805886715424e-01 3.053508711890507723e-04
2.457424913036318962e+06 9.921729053182191116e-01 3.054514268655369362e-04
2.457424915062238928e+06 9.919979730114613092e-01 3.054379033528330039e-04
2.457424917087428737e+06 9.922436780487369212e-01 3.054126338274216145e-04
2.457424919112988748e+06 9.918607620296576721e-01 3.053894134084644569e-04
2.457424921138168778e+06 9.920826750394823312e-01 3.053833273248524440e-04
2.457424923164098989e+06 9.930086706348993930e-01 3.055375888801548025e-04
2.457424925189279020e+06 9.933140644801433661e-01 3.055694070795132201e-04
2.457424927214839030e+06 9.927171251664669294e-01 3.054809474958925723e-04
2.457424931265948806e+06 9.939860972897583968e-01 3.057058091652848264e-04
2.457424933291128837e+06 9.960503882144675636e-01 3.060487445386450458e-04
2.457424971219649073e+06 1.007380631186913567e+00 3.077579110920832623e-04
2.457424973244838882e+06 1.007171977557141496e+00 3.077849811570547108e-04
2.457424975270389114e+06 1.007535636285610936e+00 3.078245946830879287e-04
2.457424977295578923e+06 1.007109061473311806e+00 3.077767523940864352e-04
2.457424979321498889e+06 1.007212576195156029e+00 3.077901393947395721e-04
2.457424981346689165e+06 1.007138131866482933e+00 3.077655396851265495e-04
2.457424983372238930e+06 1.006536779042961571e+00 3.076659649654139871e-04
2.457424985397428740e+06 1.007386564258011319e+00 3.077864094222268585e-04
2.457424987423358951e+06 1.007349561670776383e+00 3.077586582946166159e-04
2.457424989448538981e+06 1.007234763783855458e+00 3.077400844924564117e-04
2.457424991474098992e+06 1.007842107235310758e+00 3.078750449746582639e-04
2.457424993499279022e+06 1.006974476449153943e+00 3.077229385135320998e-04
2.457424995525208768e+06 1.007167151045331055e+00 3.077353164184052649e-04
2.457424997550388798e+06 1.006977949229810099e+00 3.077239789857050376e-04
2.457424999575948808e+06 1.007523946062463871e+00 3.078112903140813798e-04
