# JD, Flux, Uncertainty
2.457424770351129118e+06 1.007181469435121768e+00 3.494517693800432622e-04
2.457424772377058864e+06 1.006240833265077406e+00 3.493121096178272451e-04
2.457424774402238894e+06 1.007549504688750153e+00 3.495580992511455811e-04
2.457424776427798904e+06 1.007924302683521844e+00 3.496573670841727544e-04
2.457424778452988714e+06 1.007745897586708184e+00 3.496597327121902859e-04
2.457424780478909146e+06 1.008134857375283744e+00 3.497399538725404233e-04
2.457424782504098956e+06 1.007778104945747488e+00 3.496954082612073033e-04
2.457424784529648721e+06 1.007188963583750763e+00 3.495704991424042774e-04
2.457424786554838996e+06 1.006648154749265389e+00 3.494728984056519328e-04
2.457424788580758963e+06 1.007312496244497257e+00 3.495674745071167678e-04
2.457424790605948772e+06 1.006709338757781680e+00 3.494988650266691167e-04
2.457424792631499004e+06 1.006818837069296979e+00 3.495016840516244807e-04
2.457424794656688813e+06 1.007471347080178825e+00 3.496087243208532459e-04
2.457424796682608780e+06 1.007161915247993589e+00 3.495742951617423350e-04
2.457424798707799055e+06 1.006990179418581377e+00 3.495322166276797703e-04
2.457424800733359065e+06 1.007135220410295684e+00 3.495711024442333986e-04
2.457424836624469142e+06 9.926262451713265822e-01 3.470269378684620446e-04
2.457424838650018908e+06 9.928694478061614870e-01 3.470784651540215421e-04
2.457424840675208718e+06 9.927669204092436361e-01 3.470958958621135062e-04
2.457424842701129150e+06 9.926283326246341243e-01 3.470509041520353655e-04
2.457424844726318959e+06 9.925382643079745382e-01 3.470635178425297016e-04
2.457424846751868725e+06 9.923775500145780581e-01 3.470405246963896464e-04
2.457424848777059000e+06 9.927791461739724488e-01 3.470948119956488820e-04
2.457424850802988745e+06 9.918225847301657128e-01 3.469028467428727646e-04
2.457424852828168776e+06 9.920699802201093931e-01 3.469583204255934691e-04
2.457424854853728786e+06 9.922014910908005803e-01 3.469756820317843656e-04
2.457424856878908817e+06 9.919902276734874347e-01 3.469475582185970624e-04
2.457424858904839028e+06 9.913319404761747888e-01 3.468213227995011914e-04
2.457424860930019058e+06 9.918478714433135446e-01 3.469217202430642803e-04
2.457424862955579069e+06 9.913338601709075215e-01 3.468301570218402575e-04
2.457424864980759099e+06 9.916969951949891060e-01 3.468917496626517760e-04
2.457424867006688844e+06 9.920105981329816469e-01 3.469909705108221347e-04
2.457424902909278870e+06 9.918763334298280610e-01 3.468717414147384206e-04
2.457424904934469145e+06 9.914584837505505677e-01 3.468386992386199427e-04
2.457424906960389111e+06 9.920160174340089121e-01 3.469885229930522457e-04
2.457424908985578921e+06 9.923683526418086709e-01 3.470285502205257017e-04
2.457424911011129152e+06 9.920291486657917268e-01 3.469889951508642258e-04
2.457424913036318962e+06 9.921322388987601215e-01 3.470066566929066684e-04
2.457424915062238928e+06 9.922238023249075889e-01 3.470401535378819639e-04
2.457424917087428737e+06 9.928487708445952187e-01 3.470844183748395461e-04
2.457424919112988748e+06 9.924301159383389637e-01 3.470638792648705960e-04
2.457424921138168778e+06 9.928621542992651650e-01 3.470957819926309782e-04
2.457424923164098989e+06 9.926213589419521366e-01 3.470673858989774350e-04
2.457424925189279020e+06 9.928095127154664690e-01 3.470884975971062140e-04
2.457424927214839030e+06 9.928603359897679725e-01 3.470950854841139922e-04
2.457424931265948806e+06 9.941572891199711437e-01 3.473566289106210631e-04
2.457424933291128837e+06 9.959739343184627058e-01 3.476980931784915785e-04
2.457424971219649073e+06 1.007749337043924109e+00 3.496638929774744113e-04
2.457424973244838882e+06 1.007947116341161742e+00 3.497671301582795677e-04
2.457424975270389114e+06 1.008014087406455150e+00 3.497654058365040879e-04
2.457424977295578923e+06 1.008046108192666823e+00 3.497907057459131498e-04
2.457424979321498889e+06 1.007553710290332027e+00 3.497037461098562801e-04
2.457424981346689165e+06 1.007901756655304792e+00 3.497484366304314495e-04
2.457424983372238930e+06 1.007723834110367145e+00 3.497182987471442119e-04
2.457424985397428740e+06 1.007907206869702366e+00 3.497497062727745868e-04
2.457424987423358951e+06 1.007911858970743868e+00 3.497286471406687940e-04
2.457424989448538981e+06 1.007889452334534308e+00 3.497211053081219719e-04
2.457424991474098992e+06 1.007362515019613269e+00 3.496853382335115353e-04
2.457424993499279022e+06 1.008041850031616615e+00 3.497788490700952358e-04
2.457424995525208768e+06 1.007860525184588019e+00 3.497257041044885841e-04
2.457424997550388798e+06 1.008182983239770403e+00 3.497963831531623381e-04
2.457424999575948808e+06 1.008356930813059105e+00 3.498243095755216203e-04
