# JD, Flux, Uncertainty
2.457424770351129118e+06 1.007637649001096536e+00 3.239002425924252730e-04
2.457424772377058864e+06 1.007386273501215346e+00 3.238797028206414816e-04
2.457424774402238894e+06 1.007570089355903864e+00 3.239265411665323102e-04
2.457424776427798904e+06 1.007199631495588443e+00 3.239011435105735161e-04
2.457424778452988714e+06 1.007828741401015415e+00 3.240279086788284231e-04
2.457424780478909146e+06 1.007219447264298795e+00 3.239426297157033791e-04
2.457424782504098956e+06 1.007173898240561360e+00 3.239506551355296883e-04
2.457424784529648721e+06 1.007744528116925276e+00 3.240133832261050950e-04
2.457424786554838996e+06 1.007216032736236722e+00 3.239219298213676513e-04
2.457424788580758963e+06 1.007711438624749212e+00 3.239823878638205452e-04
2.457424790605948772e+06 1.007774643289882865e+00 3.240198195876109835e-04
2.457424792631499004e+06 1.007637699337328163e+00 3.239825626914006923e-04
2.457424794656688813e+06 1.007226436366654099e+00 3.239152975906983722e-04
2.457424796682608780e+06 1.006806551660218263e+00 3.238619428763490405e-04
2.457424798707799055e+06 1.008773825686649417e+00 3.241671976754668580e-04
2.457424800733359065e+06 1.007221726979299570e+00 3.239335093447550567e-04
2.457424836624469142e+06 9.933547179621544654e-01 3.217146604999213751e-04
2.457424838650018908e+06 9.928304845898601183e-01 3.216368836573971820e-04
2.457424840675208718e+06 9.933412727103664297e-01 3.217515042841898217e-04
2.457424842701129150e+06 9.928748347270904828e-01 3.216541901265520826e-04
2.457424844726318959e+06 9.926039853255631540e-01 3.216381127505873083e-04
2.457424846751868725e+06 9.922360102754268496e-01 3.215812608770973594e-04
2.457424848777059000e+06 9.923521389945372251e-01 3.215843046081407158e-04
2.457424850802988745e+06 9.922663593836605900e-01 3.215387749477256296e-04
2.457424852828168776e+06 9.918175915137628085e-01 3.214755847609911425e-04
2.457424854853728786e+06 9.917877098739242836e-01 3.214617441557638018e-04
2.457424856878908817e+06 9.918708767234610812e-01 3.214775195501709234e-04
2.457424858904839028e+06 9.916350964498968912e-01 3.214350594763695367e-04
2.457424860930019058e+06 9.921596344442408233e-01 3.215263468791032791e-04
2.457424862955579069e+06 9.918880518917817524e-01 3.214825912413793105e-04
2.457424864980759099e+06 9.917413801165251286e-01 3.214595783648400832e-04
2.457424867006688844e+06 9.920976250131813279e-01 3.215583898865728425e-04
2.457424902909278870e+06 9.916163372801265474e-01 3.214341759519799275e-04
2.457424904934469145e+06 9.921012720957104181e-01 3.215494608690469937e-04
2.457424906960389111e+06 9.919577101352318182e-01 3.215753728865932358e-04
2.457424908985578921e+06 9.919518362945645151e-01 3.215532630749145843e-04
2.457424911011129152e+06 9.920094567668411578e-01 3.215754725582670366e-04
2.457424913036318962e+06 9.920785703624575014e-01 3.215868366862431366e-04
2.457424915062238928e+06 9.911495281595135154e-01 3.214524129040871266e-04
2.457424917087428737e+06 9.922372026632291231e-01 3.215597929246338457e-04
2.457424919112988748e+06 9.922538936788800612e-01 3.216025373127529268e-04
2.457424921138168778e+06 9.926239301043492391e-01 3.216193259426928510e-04
2.457424923164098989e+06 9.926582291326354612e-01 3.216384858482206630e-04
2.457424925189279020e+06 9.930005619355899427e-01 3.216785950910566651e-04
2.457424927214839030e+06 9.931650144578347827e-01 3.217064210158047379e-04
2.457424931265948806e+06 9.943084059915792139e-01 3.219242053447549969e-04
2.457424933291128837e+06 9.957068014807288758e-01 3.221768367009149054e-04
2.457424971219649073e+06 1.006966672527011442e+00 3.239628163513167455e-04
2.457424973244838882e+06 1.006892073406803645e+00 3.240141859985906257e-04
2.457424975270389114e+06 1.007417806745286137e+00 3.240824334722352163e-04
2.457424977295578923e+06 1.007741336553326983e+00 3.241511714585225716e-04
2.457424979321498889e+06 1.007432863553412883e+00 3.240996858925945128e-04
2.457424981346689165e+06 1.007516959350585717e+00 3.240988271177936211e-04
2.457424983372238930e+06 1.008128964564111163e+00 3.241860173514088460e-04
2.457424985397428740e+06 1.007786218053729810e+00 3.241256950560144029e-04
2.457424987423358951e+06 1.007431752405315573e+00 3.240450209680464369e-04
2.457424989448538981e+06 1.008174385372407444e+00 3.241609879954266684e-04
2.457424991474098992e+06 1.007680218801877858e+00 3.241292249718799785e-04
2.457424993499279022e+06 1.007697119372996886e+00 3.241084932352070527e-04
2.457424995525208768e+06 1.007617108696164054e+00 3.240790232808334905e-04
2.457424997550388798e+06 1.008141044589301982e+00 3.241803648270432802e-04
2.457424999575948808e+06 1.007570342415340603e+00 3.240930371667872416e-04
