# JD, Flux, Uncertainty
2.457424770351129118e+06 1.007406167477065573e+00 2.965014278887645807e-04
2.457424772377058864e+06 1.008358560742114829e+00 2.966653889159390515e-04
2.457424774402238894e+06 1.007291428237261588e+00 2.965266197092979563e-04
2.457424776427798904e+06 1.007856453601949420e+00 2.966359007870273345e-04
2.457424778452988714e+06 1.007802983361087978e+00 2.966561703351687810e-04
2.457424780478909146e+06 1.007263733732339128e+00 2.965876588693187616e-04
2.457424782504098956e+06 1.007140654402202129e+00 2.965897812452608011e-04
2.457424784529648721e+06 1.007590504209705529e+00 2.966568001823568579e-04
2.457424786554838996e+06 1.008161327123155315e+00 2.967501507684083676e-04
2.457424788580758963e+06 1.007531076888674493e+00 2.966491835786599896e-04
2.457424790605948772e+06 1.007347212870640440e+00 2.966524667163853790e-04
2.457424792631499004e+06 1.007578577570182210e+00 2.966768145757949491e-04
2.457424794656688813e+06 1.007465940973629959e+00 2.966605187083476186e-04
2.457424796682608780e+06 1.007989701027465657e+00 2.967412367128277758e-04
2.457424798707799055e+06 1.006899446189102099e+00 2.965660434688241953e-04
2.457424800733359065e+06 1.006781725370237801e+00 2.965556918659542802e-04
2.457424836624469142e+06 9.934978416011813751e-01 2.944859968264216285e-04
2.457424838650018908e+06 9.933560386617822369e-01 2.944641877716279227e-04
2.457424840675208718e+06 9.925854093969580516e-01 2.943781621065747248e-04
2.457424842701129150e+06 9.920303492558432135e-01 2.942828285399185168e-04
2.457424844726318959e+06 9.924069763821067314e-01 2.943596285123845579e-04
2.457424846751868725e+06 9.922652191416059253e-01 2.943435637259708216e-04
2.457424848777059000e+06 9.927465703720698142e-01 2.944096452548885081e-04
2.457424850802988745e+06 9.925029407713457097e-01 2.943688795989472112e-04
2.457424852828168776e+06 9.917594344562524755e-01 2.942803568061783072e-04
2.457424854853728786e+06 9.917861064674252658e-01 2.942909311127112960e-04
2.457424856878908817e+06 9.925314199121949565e-01 2.944098970924765094e-04
2.457424858904839028e+06 9.918520392435962174e-01 2.942999970114685919e-04
2.457424860930019058e+06 9.919073723399322029e-01 2.943228187798055309e-04
2.457424862955579069e+06 9.919944881905958800e-01 2.943218346177753396e-04
2.457424864980759099e+06 9.915558605600407471e-01 2.942528637294760719e-04
2.457424867006688844e+06 9.915913691550773956e-01 2.942885858711895872e-04
2.457424902909278870e+06 9.914657472552877993e-01 2.941029251542255510e-04
2.457424904934469145e+06 9.920065797480066561e-01 2.942030991346123998e-04
2.457424906960389111e+06 9.917345975483721210e-01 2.942079428287534891e-04
2.457424908985578921e+06 9.923194846264949964e-01 2.942780473720853977e-04
2.457424911011129152e+06 9.922066147099167788e-01 2.942796493340008404e-04
2.457424913036318962e+06 9.921764544323771196e-01 2.942734825810541170e-04
2.457424915062238928e+06 9.922511082264162674e-01 2.943075243615070140e-04
2.457424917087428737e+06 9.919607884347340088e-01 2.942407008668728677e-04
2.457424919112988748e+06 9.926086584617997977e-01 2.943808567855895893e-04
2.457424921138168778e+06 9.919249993565657508e-01 2.942538138570264389e-04
2.457424923164098989e+06 9.921962865550920663e-01 2.943097558506072866e-04
2.457424925189279020e+06 9.927207170245770929e-01 2.943815598388102106e-04
2.457424927214839030e+06 9.935787896747049208e-01 2.945033038670314134e-04
2.457424931265948806e+06 9.947196722686501014e-01 2.946996153231646459e-04
2.457424933291128837e+06 9.962428131032332601e-01 2.949367093213414465e-04
2.457424971219649073e+06 1.008004458909030454e+00 2.965065496573301052e-04
2.457424973244838882e+06 1.007876409717682664e+00 2.965392892290327201e-04
2.457424975270389114e+06 1.007005454409999556e+00 2.964063606666479493e-04
2.457424977295578923e+06 1.007774991045688573e+00 2.965389337985380050e-04
2.457424979321498889e+06 1.008059061665822487e+00 2.965764327847052097e-04
2.457424981346689165e+06 1.007516622837152376e+00 2.964868153589639331e-04
2.457424983372238930e+06 1.007315844221246648e+00 2.964774011504502202e-04
2.457424985397428740e+06 1.007540324392487197e+00 2.965164767579902150e-04
2.457424987423358951e+06 1.007595359672858182e+00 2.965214935654938164e-04
2.457424989448538981e+06 1.007229511488468621e+00 2.964714282320869720e-04
2.457424991474098992e+06 1.007950291272355914e+00 2.966186722842580601e-04
2.457424993499279022e+06 1.007047756438915975e+00 2.964764505566896123e-04
2.457424995525208768e+06 1.007313933691767138e+00 2.964918052599844166e-04
2.457424997550388798e+06 1.007442039078426443e+00 2.965091069494154457e-04
2.457424999575948808e+06 1.007379700047037918e+00 2.964943794658355010e-04
