# JD, Flux, Uncertainty
2.457424770351129118e+06 1.007619936270740979e+00 2.998767147960904544e-04
2.457424772377058864e+06 1.007968587218504020e+00 2.999578412251455877e-04
2.457424774402238894e+06 1.007332157624212909e+00 2.998817204627049547e-04
2.457424776427798904e+06 1.007253967056458865e+00 2.998961833591934595e-04
2.457424778452988714e+06 1.006984810073192405e+00 2.998883305721143319e-04
2.457424780478909146e+06 1.007415962002676801e+00 2.999616645727138189e-04
2.457424782504098956e+06 1.007560756542723590e+00 3.000053607696697789e-04
2.457424784529648721e+06 1.007709148927639964e+00 3.000434487377867296e-04
2.457424786554838996e+06 1.007949309308818542e+00 3.000998117889302000e-04
2.457424788580758963e+06 1.007890632104778250e+00 3.000845702350761132e-04
2.457424790605948772e+06 1.008036297219448763e+00 3.001412024087387210e-04
2.457424792631499004e+06 1.007912759264831815e+00 3.001166347419614226e-04
2.457424794656688813e+06 1.007285559031133593e+00 3.000246027127301740e-04
2.457424796682608780e+06 1.008007286125516044e+00 3.001324276351692924e-04
2.457424798707799055e+06 1.007291126675023074e+00 3.000050876449688090e-04
2.457424800733359065e+06 1.007345602071536561e+00 3.000171011892563259e-04
2.457424836624469142e+06 9.931016362997605595e-01 2.977115460732820073e-04
2.457424838650018908e+06 9.933685320843379518e-01 2.977490571193813123e-04
2.457424840675208718e+06 9.923654105101027412e-01 2.976266114877363137e-04
2.457424842701129150e+06 9.924217300950746168e-01 2.976244286514067639e-04
2.457424844726318959e+06 9.933803495865707323e-01 2.977868064289565151e-04
2.457424846751868725e+06 9.924793203586059764e-01 2.976600099855275885e-04
2.457424848777059000e+06 9.925111771588632781e-01 2.976646784561394151e-04
2.457424850802988745e+06 9.916833904254652721e-01 2.975499998377285405e-04
2.457424852828168776e+06 9.923006171389420205e-01 2.976687481725691559e-04
2.457424854853728786e+06 9.917105575444544741e-01 2.975961604700579923e-04
2.457424856878908817e+06 9.917095889067008008e-01 2.976121177063972508e-04
2.457424858904839028e+06 9.915402534358601638e-01 2.975710558456531353e-04
2.457424860930019058e+06 9.916728669263038531e-01 2.976097577414142138e-04
2.457424862955579069e+06 9.920673775709625275e-01 2.976470697713868067e-04
2.457424864980759099e+06 9.908977089836663588e-01 2.974669646846906648e-04
2.457424867006688844e+06 9.919844237041948176e-01 2.976561467130800368e-04
2.457424902909278870e+06 9.913658655440966694e-01 2.973290721729191562e-04
2.457424904934469145e+06 9.919913871227129532e-01 2.974369811261911309e-04
2.457424906960389111e+06 9.914876146116173850e-01 2.974078696499319490e-04
2.457424908985578921e+06 9.914598885049258348e-01 2.973898958223539137e-04
2.457424911011129152e+06 9.921327137593555223e-01 2.975114711204428740e-04
2.457424913036318962e+06 9.922657657334319481e-01 2.975282228156758777e-04
2.457424915062238928e+06 9.922941882768958610e-01 2.975604910609196737e-04
2.457424917087428737e+06 9.915453421269861956e-01 2.974419114197900224e-04
2.457424919112988748e+06 9.919042565443652038e-01 2.975474983912149108e-04
2.457424921138168778e+06 9.926046757560850198e-01 2.976299295085220106e-04
2.457424923164098989e+06 9.926429743558022878e-01 2.976530549161113086e-04
2.457424925189279020e+06 9.929632355333734006e-01 2.977000732540698285e-04
2.457424927214839030e+06 9.927642883626757175e-01 2.976636975160233331e-04
2.457424931265948806e+06 9.945491870589908689e-01 2.979565998745928616e-04
2.457424933291128837e+06 9.967554004615282182e-01 2.982905930912020643e-04
2.457424971219649073e+06 1.007453743543978764e+00 2.996537190589285962e-04
2.457424973244838882e+06 1.007229084308306266e+00 2.996710546076387211e-04
2.457424975270389114e+06 1.007731813051087499e+00 2.997431405949171576e-04
2.457424977295578923e+06 1.007692934649600192e+00 2.997602028948141662e-04
2.457424979321498889e+06 1.007723800936374481e+00 2.997603257715305094e-04
2.457424981346689165e+06 1.007638328145377349e+00 2.997370746238386366e-04
2.457424983372238930e+06 1.007673889336797135e+00 2.997760933408138355e-04
2.457424985397428740e+06 1.007578420848449507e+00 2.997760713780825057e-04
2.457424987423358951e+06 1.007357470349365958e+00 2.997485701226135246e-04
2.457424989448538981e+06 1.007653493554263591e+00 2.997968406599277520e-04
2.457424991474098992e+06 1.007309638996914503e+00 2.997895626425226999e-04
2.457424993499279022e+06 1.008360863688787745e+00 2.999374397940015756e-04
2.457424995525208768e+06 1.007458322493757219e+00 2.997773664274996572e-04
2.457424997550388798e+06 1.007948614871452486e+00 2.998408188536996386e-04
2.457424999575948808e+06 1.007703959225547008e+00 2.997934917034089132e-04
