# JD, Flux, Uncertainty
2.457424770351129118e+06 1.007553697286859062e+00 2.989087274226410215e-04
2.457424772377058864e+06 1.007313152622703711e+00 2.988991636580526443e-04
2.457424774402238894e+06 1.007724382159801202e+00 2.989761148847020172e-04
2.457424776427798904e+06 1.007554615129254927e+00 2.989785469735844635e-04
2.457424778452988714e+06 1.006997639305903247e+00 2.989255405647817544e-04
2.457424780478909146e+06 1.007429393828464192e+00 2.989988708201639974e-04
2.457424782504098956e+06 1.007903772296701472e+00 2.990885180255175896e-04
2.457424784529648721e+06 1.007490290724815774e+00 2.990290996958708345e-04
2.457424786554838996e+06 1.007542199624952950e+00 2.990469176128635921e-04
2.457424788580758963e+06 1.007400387077869608e+00 2.990162912039890210e-04
2.457424790605948772e+06 1.007312746343183463e+00 2.990335991973628238e-04
2.457424792631499004e+06 1.006998464747518307e+00 2.989777437357400073e-04
2.457424794656688813e+06 1.007138326725585564e+00 2.989982746790241269e-04
2.457424796682608780e+06 1.007304469119861823e+00 2.990277469226905222e-04
2.457424798707799055e+06 1.007395348989095440e+00 2.990249339019512170e-04
2.457424800733359065e+06 1.007265440952384905e+00 2.990129388492850744e-04
2.457424836624469142e+06 9.930591348300807919e-01 2.967858191288605374e-04
2.457424838650018908e+06 9.931592991715237906e-01 2.967995865248495104e-04
2.457424840675208718e+06 9.930037446424061498e-01 2.968033780944812311e-04
2.457424842701129150e+06 9.927753762045971042e-01 2.967564237809570656e-04
2.457424844726318959e+06 9.921285111734002848e-01 2.966822240204075741e-04
2.457424846751868725e+06 9.921793649207018007e-01 2.966947997307462143e-04
2.457424848777059000e+06 9.925805553400812720e-01 2.967506311532296993e-04
2.457424850802988745e+06 9.921165860621151689e-01 2.966788727998158543e-04
2.457424852828168776e+06 9.915996767259291911e-01 2.966239298135340922e-04
2.457424854853728786e+06 9.924473856930398075e-01 2.967566904249016742e-04
2.457424856878908817e+06 9.912158495780990508e-01 2.965851356783027744e-04
2.457424858904839028e+06 9.909914664676778839e-01 2.965410255201481071e-04
2.457424860930019058e+06 9.911181541688303120e-01 2.965747402886647027e-04
2.457424862955579069e+06 9.917167734441819649e-01 2.966489407398159041e-04
2.457424864980759099e+06 9.915743577805060660e-01 2.966231956824041277e-04
2.457424867006688844e+06 9.910473783633894085e-01 2.965757452262269048e-04
2.457424902909278870e+06 9.919475643277089194e-01 2.965242128233956751e-04
2.457424904934469145e+06 9.919511067931037207e-01 2.965433696046548481e-04
2.457424906960389111e+06 9.917271770461733027e-01 2.965555572575051101e-04
2.457424908985578921e+06 9.922428122702192654e-01 2.966166947205391602e-04
2.457424911011129152e+06 9.925840499662286209e-01 2.966872775734343578e-04
2.457424913036318962e+06 9.919206058954541660e-01 2.965867713940168013e-04
2.457424915062238928e+06 9.919365623678227939e-01 2.966142605697096382e-04
2.457424917087428737e+06 9.923393753306215537e-01 2.966544469385026285e-04
2.457424919112988748e+06 9.921311676653402634e-01 2.966716225723578493e-04
2.457424921138168778e+06 9.921430333025185178e-01 2.966476992871839116e-04
2.457424923164098989e+06 9.922069395563137828e-01 2.966737338412781737e-04
2.457424925189279020e+06 9.920074606167036402e-01 2.966403590578639321e-04
2.457424927214839030e+06 9.931398757846346959e-01 2.968029447625429736e-04
2.457424931265948806e+06 9.938118835049272182e-01 2.969312666149114704e-04
2.457424933291128837e+06 9.961792367421032912e-01 2.972931792810200573e-04
2.457424971219649073e+06 1.008128607973372448e+00 2.988761658439477355e-04
2.457424973244838882e+06 1.008327069575505996e+00 2.989559740606454017e-04
2.457424975270389114e+06 1.007631678850423151e+00 2.988501001031837988e-04
2.457424977295578923e+06 1.008003046025916838e+00 2.989263105101658421e-04
2.457424979321498889e+06 1.008021954817843957e+00 2.989247926938802080e-04
2.457424981346689165e+06 1.008364986989189083e+00 2.989648724703196023e-04
2.457424983372238930e+06 1.008290777335133281e+00 2.989805222648893356e-04
2.457424985397428740e+06 1.008120983966136253e+00 2.989657895783457884e-04
2.457424987423358951e+06 1.008454241535616802e+00 2.990146479819832362e-04
2.457424989448538981e+06 1.007968755075547396e+00 2.989473628715780371e-04
2.457424991474098992e+06 1.008274252993728082e+00 2.990351754326424382e-04
2.457424993499279022e+06 1.007619898170333705e+00 2.989299492512165549e-04
2.457424995525208768e+06 1.007990081565249385e+00 2.989591344769776306e-04
2.457424997550388798e+06 1.007365882253510980e+00 2.988632106575087586e-04
2.457424999575948808e+06 1.008130990201101529e+00 2.989671674585963864e-04
