# JD, Flux, Uncertainty
2.457424770351129118e+06 1.007922289059145271e+00 2.974866466974919075e-04
2.457424772377058864e+06 1.007378661802416087e+00 2.974353898653639243e-04
2.457424774402238894e+06 1.007894266374495418e+00 2.975276151333751309e-04
2.457424776427798904e+06 1.007019543130309724e+00 2.974261343280674898e-04
2.457424778452988714e+06 1.007313418848517772e+00 2.974992844630887780e-04
2.457424780478909146e+06 1.007605317874885609e+00 2.975516868868797972e-04
2.457424782504098956e+06 1.008057711130794010e+00 2.976392171301627410e-04
2.457424784529648721e+06 1.007896182551570430e+00 2.976275007560389178e-04
2.457424786554838996e+06 1.007671832097613906e+00 2.976128991458382384e-04
2.457424788580758963e+06 1.007631053965220902e+00 2.975992680945237483e-04
2.457424790605948772e+06 1.007507741578959060e+00 2.976145954951988607e-04
2.457424792631499004e+06 1.007466860345734849e+00 2.976017264162029996e-04
2.457424794656688813e+06 1.007863442185284786e+00 2.976596162270703791e-04
2.457424796682608780e+06 1.007869942941328478e+00 2.976630123712010545e-04
2.457424798707799055e+06 1.007727673418989722e+00 2.976216207395411778e-04
2.457424800733359065e+06 1.007565950163906932e+00 2.976029235897437479e-04
2.457424836624469142e+06 9.936550305964301222e-01 2.953867568217716146e-04
2.457424838650018908e+06 9.931394948140115364e-01 2.953094782052085058e-04
2.457424840675208718e+06 9.926939918905445248e-01 2.952694516763438096e-04
2.457424842701129150e+06 9.926506308170444104e-01 2.952518133311653930e-04
2.457424844726318959e+06 9.929782314696977696e-01 2.953209724060913699e-04
2.457424846751868725e+06 9.923877011916234503e-01 2.952399497836227728e-04
2.457424848777059000e+06 9.921859566253299345e-01 2.952090371631275545e-04
2.457424850802988745e+06 9.925418668148555668e-01 2.952652062823149189e-04
2.457424852828168776e+06 9.918029286793550447e-01 2.951819580779424393e-04
2.457424854853728786e+06 9.919499516806643546e-01 2.952157516508552575e-04
2.457424856878908817e+06 9.924187183145865010e-01 2.952983771048211560e-04
2.457424858904839028e+06 9.916469591796631677e-01 2.951713203748571740e-04
2.457424860930019058e+06 9.918047545426329492e-01 2.952120398828807354e-04
2.457424862955579069e+06 9.910091543425767480e-01 2.950764618945357675e-04
2.457424864980759099e+06 9.917100388190225324e-01 2.951729320384607457e-04
2.457424867006688844e+06 9.913690205573935099e-01 2.951516582088873036e-04
2.457424902909278870e+06 9.911684465759207363e-01 2.949073840389114715e-04
2.457424904934469145e+06 9.917575990264336783e-01 2.950109322337101585e-04
2.457424906960389111e+06 9.915700160910558836e-01 2.950279766280143059e-04
2.457424908985578921e+06 9.919999506148886592e-01 2.950768075423930545e-04
2.457424911011129152e+06 9.919017645268195515e-01 2.950839182883767831e-04
2.457424913036318962e+06 9.923179805203523607e-01 2.951421420923212272e-04
2.457424915062238928e+06 9.931998849205975199e-01 2.952977957472191235e-04
2.457424917087428737e+06 9.916091522622724197e-01 2.950521487565077291e-04
2.457424919112988748e+06 9.921075572311004453e-01 2.951755960726461627e-04
2.457424921138168778e+06 9.928146914857179928e-01 2.952563076485660533e-04
2.457424923164098989e+06 9.932714515995287874e-01 2.953414182837271708e-04
2.457424925189279020e+06 9.925020090842585629e-01 2.952260206435650320e-04
2.457424927214839030e+06 9.926176507779462810e-01 2.952369598777441193e-04
2.457424931265948806e+06 9.938808288322150686e-01 2.954514747670160799e-04
2.457424933291128837e+06 9.963074160853107042e-01 2.958168510502854351e-04
2.457424971219649073e+06 1.007483532398926185e+00 2.972580624541092185e-04
2.457424973244838882e+06 1.007670183629807426e+00 2.973349316407769582e-04
2.457424975270389114e+06 1.007835482580660358e+00 2.973560929682675553e-04
2.457424977295578923e+06 1.007472376198118136e+00 2.973250918392862608e-04
2.457424979321498889e+06 1.007283453629532755e+00 2.972933033356707781e-04
2.457424981346689165e+06 1.007778357792278312e+00 2.973555765621525827e-04
2.457424983372238930e+06 1.007618577581315344e+00 2.973613532896828828e-04
2.457424985397428740e+06 1.007533510476433358e+00 2.973611340128764265e-04
2.457424987423358951e+06 1.007060534289559550e+00 2.972945729074755595e-04
2.457424989448538981e+06 1.007938346263229201e+00 2.974269397493773770e-04
2.457424991474098992e+06 1.007216906745981522e+00 2.973646165347651840e-04
2.457424993499279022e+06 1.007211336397974888e+00 2.973562670034075872e-04
2.457424995525208768e+06 1.006959515567603658e+00 2.972934157071877633e-04
2.457424997550388798e+06 1.007770400849610448e+00 2.974048253354131047e-04
2.457424999575948808e+06 1.007804768159941800e+00 2.973996733515799008e-04
