# JD, Flux, Uncertainty
2.457424770351129118e+06 1.007216679656295577e+00 3.359813852836658187e-04
2.457424772377058864e+06 1.007237495104459368e+00 3.360039904457007981e-04
2.457424774402238894e+06 1.007024336795255159e+00 3.359878468605905443e-04
2.457424776427798904e+06 1.007913349065916453e+00 3.361685855863506475e-04
2.457424778452988714e+06 1.006675695389462000e+00 3.359937235870164561e-04
2.457424780478909146e+06 1.006810271834195136e+00 3.360284042600819956e-04
2.457424782504098956e+06 1.007178127717896610e+00 3.361037267655162344e-04
2.457424784529648721e+06 1.007242410461715032e+00 3.360830262901788427e-04
2.457424786554838996e+06 1.007177846668887211e+00 3.360603824520699097e-04
2.457424788580758963e+06 1.007675591412362737e+00 3.361226664756379752e-04
2.457424790605948772e+06 1.007854711207770038e+00 3.361819944035243255e-04
2.457424792631499004e+06 1.007793760735833599e+00 3.361546643419924089e-04
2.457424794656688813e+06 1.007625041987973313e+00 3.361238088100865261e-04
2.457424796682608780e+06 1.007877770447663135e+00 3.361826439040058808e-04
2.457424798707799055e+06 1.007692078328335406e+00 3.361438069326890812e-04
2.457424800733359065e+06 1.007508817014492575e+00 3.361286622540121454e-04
2.457424836624469142e+06 9.932335549755475501e-01 3.337684900867287610e-04
2.457424838650018908e+06 9.927948834172157788e-01 3.337039648392635242e-04
2.457424840675208718e+06 9.925960048311992523e-01 3.337055203119772642e-04
2.457424842701129150e+06 9.927213310712897920e-01 3.337036581364620762e-04
2.457424844726318959e+06 9.925972180808876333e-01 3.337109135988054688e-04
2.457424846751868725e+06 9.926241602883716375e-01 3.337178859363436312e-04
2.457424848777059000e+06 9.917037451497906497e-01 3.335476108128468181e-04
2.457424850802988745e+06 9.927099293417731563e-01 3.336802923119891657e-04
2.457424852828168776e+06 9.925322333990796997e-01 3.336595167371661161e-04
2.457424854853728786e+06 9.918569444749565367e-01 3.335368726907213363e-04
2.457424856878908817e+06 9.914730760449709246e-01 3.334759180252804293e-04
2.457424858904839028e+06 9.921797768586554378e-01 3.335863718477110164e-04
2.457424860930019058e+06 9.919020361151028586e-01 3.335479876284485972e-04
2.457424862955579069e+06 9.919589255585946619e-01 3.335590666981857479e-04
2.457424864980759099e+06 9.920161814938822653e-01 3.335682811679811658e-04
2.457424867006688844e+06 9.918410060510322035e-01 3.335841536138433759e-04
2.457424902909278870e+06 9.918856586711994883e-01 3.335443577878633727e-04
2.457424904934469145e+06 9.918829869454071080e-01 3.335836228627421583e-04
2.457424906960389111e+06 9.924664618201387567e-01 3.337321115151674301e-04
2.457424908985578921e+06 9.923629234607844740e-01 3.336937915371252102e-04
2.457424911011129152e+06 9.917036278341117006e-01 3.335988381352041976e-04
2.457424913036318962e+06 9.916142872670812292e-01 3.335851220972291492e-04
2.457424915062238928e+06 9.920890280411674977e-01 3.336777133706595247e-04
2.457424917087428737e+06 9.922382388302253275e-01 3.336320252724756202e-04
2.457424919112988748e+06 9.924360414870389002e-01 3.337083796847826892e-04
2.457424921138168778e+06 9.928674834178067288e-01 3.337350444933674751e-04
2.457424923164098989e+06 9.918296653203866331e-01 3.335752409689716818e-04
2.457424925189279020e+06 9.922448758790242129e-01 3.336308905601786229e-04
2.457424927214839030e+06 9.936202032117845695e-01 3.338595588653645659e-04
2.457424931265948806e+06 9.935290686569727692e-01 3.338803166523833456e-04
2.457424933291128837e+06 9.963346475042461625e-01 3.343774105629316478e-04
2.457424971219649073e+06 1.008615679226056994e+00 3.363947196821230915e-04
2.457424973244838882e+06 1.007970942293535899e+00 3.363552730198853327e-04
2.457424975270389114e+06 1.007402533150820734e+00 3.362458964516538387e-04
2.457424977295578923e+06 1.007365883358311009e+00 3.362578637389257766e-04
2.457424979321498889e+06 1.007456745502650852e+00 3.362710514978401919e-04
2.457424981346689165e+06 1.008067400982972872e+00 3.363568707273727480e-04
2.457424983372238930e+06 1.008175201793251707e+00 3.363656885352761397e-04
2.457424985397428740e+06 1.007784845457875278e+00 3.362956874267612577e-04
2.457424987423358951e+06 1.008231556242737303e+00 3.363432436789066038e-04
2.457424989448538981e+06 1.007654851042891098e+00 3.362454788109487790e-04
2.457424991474098992e+06 1.007888395283941030e+00 3.363344769492333450e-04
2.457424993499279022e+06 1.007490236472671663e+00 3.362433789116937009e-04
2.457424995525208768e+06 1.007692228140227630e+00 3.362585256554578329e-04
2.457424997550388798e+06 1.007066273059013861e+00 3.361755406182487076e-04
2.457424999575948808e+06 1.006787038664790357e+00 3.361318829715909009e-04
