# JD, Flux, Uncertainty
2.457424770351129118e+06 1.007624795558056396e+00 3.114302344788097052e-04
2.457424772377058864e+06 1.007755189273376706e+00 3.114747862202097654e-04
2.457424774402238894e+06 1.007235528614164100e+00 3.114129832534930629e-04
2.457424776427798904e+06 1.007608297921052998e+00 3.114990643966771390e-04
2.457424778452988714e+06 1.007462509732440781e+00 3.115063354400393744e-04
2.457424780478909146e+06 1.007879924193774146e+00 3.115805379432088533e-04
2.457424782504098956e+06 1.007053881266007922e+00 3.114739017566344696e-04
2.457424784529648721e+06 1.008007504164837087e+00 3.116149213940035091e-04
2.457424786554838996e+06 1.008171366877559150e+00 3.116466199887070790e-04
2.457424788580758963e+06 1.007623227511943886e+00 3.115506245988699228e-04
2.457424790605948772e+06 1.007071497502385116e+00 3.114978396565272391e-04
2.457424792631499004e+06 1.007282784414304855e+00 3.115192516903884305e-04
2.457424794656688813e+06 1.007756239549477684e+00 3.115907145103152700e-04
2.457424796682608780e+06 1.007221880777942946e+00 3.115167601111151264e-04
2.457424798707799055e+06 1.008138570570832782e+00 3.116412761797307572e-04
2.457424800733359065e+06 1.007959333493701148e+00 3.116221892949862671e-04
2.457424836624469142e+06 9.928469597535588553e-01 3.091972830293762903e-04
2.457424838650018908e+06 9.924110551548470660e-01 3.091318648470996753e-04
2.457424840675208718e+06 9.929887948478951509e-01 3.092499288366980324e-04
2.457424842701129150e+06 9.928490710452242407e-01 3.092123990069831681e-04
2.457424844726318959e+06 9.918022318765518097e-01 3.090747039871435931e-04
2.457424846751868725e+06 9.919433311773722117e-01 3.091006790319806869e-04
2.457424848777059000e+06 9.919842404810486070e-01 3.090995023578558512e-04
2.457424850802988745e+06 9.919669863522577735e-01 3.090857157743565195e-04
2.457424852828168776e+06 9.920115403895173323e-01 3.091113954647541399e-04
2.457424854853728786e+06 9.923396470190980478e-01 3.091652271849285017e-04
2.457424856878908817e+06 9.914724748220806738e-01 3.090410496522852921e-04
2.457424858904839028e+06 9.913669643450947477e-01 3.090137418323091406e-04
2.457424860930019058e+06 9.914198698492432404e-01 3.090356354876454010e-04
2.457424862955579069e+06 9.915916116734037056e-01 3.090514669689017717e-04
2.457424864980759099e+06 9.920297727249252073e-01 3.091152532536645104e-04
2.457424867006688844e+06 9.910794242637228635e-01 3.090032043973913421e-04
2.457424902909278870e+06 9.912333982554102363e-01 3.088812943321781498e-04
2.457424904934469145e+06 9.913979111445814230e-01 3.089325656719375032e-04
2.457424906960389111e+06 9.924775630045797881e-01 3.091461080136753128e-04
2.457424908985578921e+06 9.922063848448432477e-01 3.090867071995215742e-04
2.457424911011129152e+06 9.918333566128221257e-01 3.090477030875131881e-04
2.457424913036318962e+06 9.921407717494622469e-01 3.090936180491360430e-04
2.457424915062238928e+06 9.928308283735479689e-01 3.092213112200528071e-04
2.457424917087428737e+06 9.921818496170838886e-01 3.090852656117091808e-04
2.457424919112988748e+06 9.921351082596250315e-01 3.091251620418120896e-04
2.457424921138168778e+06 9.925424264468348801e-01 3.091561746979301596e-04
2.457424923164098989e+06 9.929189291168191156e-01 3.092299508363417402e-04
2.457424925189279020e+06 9.931180529335416063e-01 3.092536595445682132e-04
2.457424927214839030e+06 9.932219660725717381e-01 3.092663025489429738e-04
2.457424931265948806e+06 9.948009116495081239e-01 3.095407222495649723e-04
2.457424933291128837e+06 9.959883857271918384e-01 3.097413479918822597e-04
2.457424971219649073e+06 1.008146649047706012e+00 3.114866523068881166e-04
2.457424973244838882e+06 1.007392879794428264e+00 3.114275265194308361e-04
2.457424975270389114e+06 1.008142723968562970e+00 3.115336314970794688e-04
2.457424977295578923e+06 1.007663055720006584e+00 3.114804449390601976e-04
2.457424979321498889e+06 1.007627325452739031e+00 3.114716286593529411e-04
2.457424981346689165e+06 1.007824797141743112e+00 3.114901102066456088e-04
2.457424983372238930e+06 1.007324824931956631e+00 3.114269297962931368e-04
2.457424985397428740e+06 1.007027270963671617e+00 3.113852421900503101e-04
2.457424987423358951e+06 1.008164950042287566e+00 3.115502710287635702e-04
2.457424989448538981e+06 1.007583882077982551e+00 3.114631939561055126e-04
2.457424991474098992e+06 1.007859027012278919e+00 3.115503309211461818e-04
2.457424993499279022e+06 1.007901870202762451e+00 3.115423897594737121e-04
2.457424995525208768e+06 1.007395715778984124e+00 3.114423620069339143e-04
2.457424997550388798e+06 1.007274770119305662e+00 3.114280019196836373e-04
2.457424999575948808e+06 1.007685906739468118e+00 3.114866237393034581e-04
