# JD, Flux, Uncertainty
2.457424770351129118e+06 1.007865865977600084e+00 3.137068062501653935e-04
2.457424772377058864e+06 1.007987737203352552e+00 3.137491436022001121e-04
2.457424774402238894e+06 1.007463776427913960e+00 3.136856182164119984e-04
2.457424776427798904e+06 1.007372665730400740e+00 3.137016584592696366e-04
2.457424778452988714e+06 1.007059717128483411e+00 3.136819252094027511e-04
2.457424780478909146e+06 1.007965243354518314e+00 3.138321379035347827e-04
2.457424782504098956e+06 1.007313271168472024e+00 3.137499676695434470e-04
2.457424784529648721e+06 1.008064267681540116e+00 3.138539267522100261e-04
2.457424786554838996e+06 1.007521155703831273e+00 3.137714027359866107e-04
2.457424788580758963e+06 1.007161792698431979e+00 3.137024345863929811e-04
2.457424790605948772e+06 1.007867925643339602e+00 3.138415541282142131e-04
2.457424792631499004e+06 1.007502805749592500e+00 3.137717436202967021e-04
2.457424794656688813e+06 1.007279314373878965e+00 3.137363603252107556e-04
2.457424796682608780e+06 1.007011642643135696e+00 3.137046667455296541e-04
2.457424798707799055e+06 1.007843729567553304e+00 3.138199898443730916e-04
2.457424800733359065e+06 1.007891052127356302e+00 3.138374592914301080e-04
2.457424836624469142e+06 9.927891765853470440e-01 3.114265353859068416e-04
2.457424838650018908e+06 9.925389521221122946e-01 3.113901952639286548e-04
2.457424840675208718e+06 9.933852381023254852e-01 3.115512735503460297e-04
2.457424842701129150e+06 9.925085742555415091e-01 3.113980316776269954e-04
2.457424844726318959e+06 9.926328687115234528e-01 3.114417748252823058e-04
2.457424846751868725e+06 9.917005133242178250e-01 3.113008512166185447e-04
2.457424848777059000e+06 9.916778263360923606e-01 3.112881119572688733e-04
2.457424850802988745e+06 9.921042555455911183e-01 3.113379443676308794e-04
2.457424852828168776e+06 9.922561191122047930e-01 3.113778750801089040e-04
2.457424854853728786e+06 9.912877282184250349e-01 3.112274652758618043e-04
2.457424856878908817e+06 9.916204384597053778e-01 3.112861633171831017e-04
2.457424858904839028e+06 9.920841380991276548e-01 3.113490518578880908e-04
2.457424860930019058e+06 9.914370384654542789e-01 3.112607575489846406e-04
2.457424862955579069e+06 9.919318271166438494e-01 3.113298022185997092e-04
2.457424864980759099e+06 9.921203796880344594e-01 3.113559159537380712e-04
2.457424867006688844e+06 9.911610001872440678e-01 3.112432123478235712e-04
2.457424902909278870e+06 9.919733355891320326e-01 3.112448378439942333e-04
2.457424904934469145e+06 9.915499704296559802e-01 3.112064320468252519e-04
2.457424906960389111e+06 9.919541915694491951e-01 3.113167598438300668e-04
2.457424908985578921e+06 9.918684293710328115e-01 3.112857521190297749e-04
2.457424911011129152e+06 9.923242355967675232e-01 3.113739865296735873e-04
2.457424913036318962e+06 9.921275229727822831e-01 3.113425318380479275e-04
2.457424915062238928e+06 9.923002280509959361e-01 3.113890288826324745e-04
2.457424917087428737e+06 9.918725025990031696e-01 3.112822741617329403e-04
2.457424919112988748e+06 9.923557635004133237e-01 3.114022010265310989e-04
2.457424921138168778e+06 9.924586591862238905e-01 3.113842639076689917e-04
2.457424923164098989e+06 9.923567771633219348e-01 3.113840240448474922e-04
2.457424925189279020e+06 9.924524582854122867e-01 3.113900467849983322e-04
2.457424927214839030e+06 9.929622059491947095e-01 3.114673516505084131e-04
2.457424931265948806e+06 9.943077281826325775e-01 3.117071919353940537e-04
2.457424933291128837e+06 9.963124134095974194e-01 3.120383376222339317e-04
2.457424971219649073e+06 1.008412232143482301e+00 3.138032549100277960e-04
2.457424973244838882e+06 1.007112277694540037e+00 3.136600925290405299e-04
2.457424975270389114e+06 1.007846408511716696e+00 3.137637226734730361e-04
2.457424977295578923e+06 1.007467734221387134e+00 3.137262067179263166e-04
2.457424979321498889e+06 1.008274421528351894e+00 3.138467599630182458e-04
2.457424981346689165e+06 1.007944992705498199e+00 3.137840815307714492e-04
2.457424983372238930e+06 1.007527729927123472e+00 3.137301813863322439e-04
2.457424985397428740e+06 1.008071202000665467e+00 3.138162553711821732e-04
2.457424987423358951e+06 1.007856602038371685e+00 3.137723189716332627e-04
2.457424989448538981e+06 1.007690342370536341e+00 3.137481753952354774e-04
2.457424991474098992e+06 1.008009396547520753e+00 3.138426061284007749e-04
2.457424993499279022e+06 1.007492576153914632e+00 3.137474162350080658e-04
2.457424995525208768e+06 1.007531360769739592e+00 3.137315298971733767e-04
2.457424997550388798e+06 1.007595292119555896e+00 3.137472816053577017e-04
2.457424999575948808e+06 1.007582971902980962e+00 3.137419440144364221e-04
