# JD, Flux, Uncertainty
2.457424770351129118e+06 1.006760544426337667e+00 3.101522522275140022e-04
2.457424772377058864e+06 1.007645586242961855e+00 3.103191866339626058e-04
2.457424774402238894e+06 1.007069396913568671e+00 3.102505725575502868e-04
2.457424776427798904e+06 1.007675161582366030e+00 3.103686043085235715e-04
2.457424778452988714e+06 1.007262712764998902e+00 3.103411087731806233e-04
2.457424780478909146e+06 1.007835783033038002e+00 3.104392692362725726e-04
2.457424782504098956e+06 1.007346211513017620e+00 3.103886131028636545e-04
2.457424784529648721e+06 1.007561084170319532e+00 3.104472788575856680e-04
2.457424786554838996e+06 1.007401702280111166e+00 3.104526401218002537e-04
2.457424788580758963e+06 1.007627535633982774e+00 3.104812857181195578e-04
2.457424790605948772e+06 1.007614462622230755e+00 3.105191746323808619e-04
2.457424792631499004e+06 1.007276924053278622e+00 3.104640947984992788e-04
2.457424794656688813e+06 1.007454246839519563e+00 3.104905440369950501e-04
2.457424796682608780e+06 1.007668562573283966e+00 3.105233721487741399e-04
2.457424798707799055e+06 1.007300413840332087e+00 3.104408188426758912e-04
2.457424800733359065e+06 1.007808666686838661e+00 3.105199425368532391e-04
2.457424836624469142e+06 9.929911319776616452e-01 3.080040831387010161e-04
2.457424838650018908e+06 9.931563014684792190e-01 3.080284943368057147e-04
2.457424840675208718e+06 9.927252898926137714e-01 3.079881372480926987e-04
2.457424842701129150e+06 9.930543237798152845e-01 3.080296133820946023e-04
2.457424844726318959e+06 9.929150348911454094e-01 3.080285014092046963e-04
2.457424846751868725e+06 9.924348047145735707e-01 3.079647552436841416e-04
2.457424848777059000e+06 9.926096027415144407e-01 3.079921912443499884e-04
2.457424850802988745e+06 9.916309367316381573e-01 3.078584620061735992e-04
2.457424852828168776e+06 9.925068873381351908e-01 3.080244295040379708e-04
2.457424854853728786e+06 9.915032421963111409e-01 3.078909540549850873e-04
2.457424856878908817e+06 9.918190371608196498e-01 3.079604896221363724e-04
2.457424858904839028e+06 9.919835129547266428e-01 3.079642175234822803e-04
2.457424860930019058e+06 9.916964017546158194e-01 3.079430744222905712e-04
2.457424862955579069e+06 9.913674029987612490e-01 3.078664671362896211e-04
2.457424864980759099e+06 9.910926138763921367e-01 3.078167093913875734e-04
2.457424867006688844e+06 9.913576504306883530e-01 3.078850566909683640e-04
2.457424902909278870e+06 9.920799442085498354e-01 3.077156460742074429e-04
2.457424904934469145e+06 9.916235050688251285e-01 3.076603429536303030e-04
2.457424906960389111e+06 9.911794153689260645e-01 3.076386686708236788e-04
2.457424908985578921e+06 9.914115156277396590e-01 3.076606788304557332e-04
2.457424911011129152e+06 9.916185873360364722e-01 3.077183064241575429e-04
2.457424913036318962e+06 9.917576643403570591e-01 3.077354925910980184e-04
2.457424915062238928e+06 9.922926338950197600e-01 3.078489324515578046e-04
2.457424917087428737e+06 9.921094036057512833e-01 3.078195744985669116e-04
2.457424919112988748e+06 9.924376736288252898e-01 3.079298059149762189e-04
2.457424921138168778e+06 9.929910711489995379e-01 3.079943889027967588e-04
2.457424923164098989e+06 9.928064588304483795e-01 3.079856596112778562e-04
2.457424925189279020e+06 9.927922075572683802e-01 3.079845079650498220e-04
2.457424927214839030e+06 9.931076831924686710e-01 3.080236413109018324e-04
2.457424931265948806e+06 9.946259886033974595e-01 3.082866770462506156e-04
2.457424933291128837e+06 9.965313501157483378e-01 3.085815369688116381e-04
2.457424971219649073e+06 1.007726932877526238e+00 3.100372122651404551e-04
2.457424973244838882e+06 1.008022471387960417e+00 3.101339664655454313e-04
2.457424975270389114e+06 1.007838594295238366e+00 3.101062025507484604e-04
2.457424977295578923e+06 1.008058353896715609e+00 3.101639175202565673e-04
2.457424979321498889e+06 1.007667908367174014e+00 3.100999787497438361e-04
2.457424981346689165e+06 1.007574659573421627e+00 3.100750786473921894e-04
2.457424983372238930e+06 1.008009528784427289e+00 3.101812303299165204e-04
2.457424985397428740e+06 1.008011147651469930e+00 3.101993550975820245e-04
2.457424987423358951e+06 1.007386228357444402e+00 3.101124562976635278e-04
2.457424989448538981e+06 1.007175027160958747e+00 3.100852577036456782e-04
2.457424991474098992e+06 1.008090311843469422e+00 3.102709308863355400e-04
2.457424993499279022e+06 1.008160782156575674e+00 3.102759791907072433e-04
2.457424995525208768e+06 1.007548824266781828e+00 3.101531557852313099e-04
2.457424997550388798e+06 1.007734055251086280e+00 3.101691233629085974e-04
2.457424999575948808e+06 1.007476901517320611e+00 3.101149605616774054e-04
