# JD, Flux, Uncertainty
2.457424770351129118e+06 1.007989908399893997e+00 2.982051887269545373e-04
2.457424772377058864e+06 1.007932085787476728e+00 2.982193437820530217e-04
2.457424774402238894e+06 1.008087487049816655e+00 2.982577230547451609e-04
2.457424776427798904e+06 1.008220896329412142e+00 2.983058788295807340e-04
2.457424778452988714e+06 1.007570249997727707e+00 2.982362606707952336e-04
2.457424780478909146e+06 1.007635927783123941e+00 2.982557066323799798e-04
2.457424782504098956e+06 1.006967559398307399e+00 2.981761644762179501e-04
2.457424784529648721e+06 1.007697297709996720e+00 2.982702046479092980e-04
2.457424786554838996e+06 1.007824329084484161e+00 2.982893962741494298e-04
2.457424788580758963e+06 1.007728007804963744e+00 2.982627864493330502e-04
2.457424790605948772e+06 1.007419256382027672e+00 2.982434691182920747e-04
2.457424792631499004e+06 1.007158667702659383e+00 2.981940563251380739e-04
2.457424794656688813e+06 1.007679952590694983e+00 2.982703979776653107e-04
2.457424796682608780e+06 1.007187796201922669e+00 2.982051114514899185e-04
2.457424798707799055e+06 1.008823584621297620e+00 2.984327317452410656e-04
2.457424800733359065e+06 1.006988371021978912e+00 2.981742491767075420e-04
2.457424836624469142e+06 9.939628690680610834e-01 2.961984434982629748e-04
2.457424838650018908e+06 9.934817890502306570e-01 2.961284838912193519e-04
2.457424840675208718e+06 9.925228766986246010e-01 2.960157375025560455e-04
2.457424842701129150e+06 9.927138611399175527e-01 2.960261499942543366e-04
2.457424844726318959e+06 9.926439437992444770e-01 2.960390561369515895e-04
2.457424846751868725e+06 9.925402259943287842e-01 2.960262074174148015e-04
2.457424848777059000e+06 9.920782052575584098e-01 2.959494242543599368e-04
2.457424850802988745e+06 9.927403728807978611e-01 2.960289616297236506e-04
2.457424852828168776e+06 9.918707757463501862e-01 2.959148406241397279e-04
2.457424854853728786e+06 9.919452833524431412e-01 2.959251811035983688e-04
2.457424856878908817e+06 9.918623266334717359e-01 2.959171559128625150e-04
2.457424858904839028e+06 9.913995503347192706e-01 2.958431800393192344e-04
2.457424860930019058e+06 9.915372758053628832e-01 2.958741186259281519e-04
2.457424862955579069e+06 9.918687819478327894e-01 2.959161542382808020e-04
2.457424864980759099e+06 9.915607440107359061e-01 2.958683816629368983e-04
2.457424867006688844e+06 9.916457373786720098e-01 2.959142648258112230e-04
2.457424902909278870e+06 9.919920113829304720e-01 2.958635657838391548e-04
2.457424904934469145e+06 9.918309712609556517e-01 2.958665518407561858e-04
2.457424906960389111e+06 9.921128289494272057e-01 2.959533496853960404e-04
2.457424908985578921e+06 9.917357622856221022e-01 2.958796172405885874e-04
2.457424911011129152e+06 9.918070471563201762e-01 2.959049181340235525e-04
2.457424913036318962e+06 9.918027865189567027e-01 2.959037075641156181e-04
2.457424915062238928e+06 9.917141421402813073e-01 2.959088789600603886e-04
2.457424917087428737e+06 9.928018412301321538e-01 2.960271579417199546e-04
2.457424919112988748e+06 9.925174183799085892e-01 2.960243417845138687e-04
2.457424921138168778e+06 9.922393429530088627e-01 2.959507416018061798e-04
2.457424923164098989e+06 9.920349761555630197e-01 2.959353139327651917e-04
2.457424925189279020e+06 9.926808591405521520e-01 2.960212480901836408e-04
2.457424927214839030e+06 9.925013064383214623e-01 2.959933889725645901e-04
2.457424931265948806e+06 9.940849464274773561e-01 2.962570406107376117e-04
2.457424933291128837e+06 9.965189428776818348e-01 2.966365819904269040e-04
2.457424971219649073e+06 1.007533840686166693e+00 2.981754630940008336e-04
2.457424973244838882e+06 1.007635040927531866e+00 2.982443071158289967e-04
2.457424975270389114e+06 1.007805558963279502e+00 2.982583371680034537e-04
2.457424977295578923e+06 1.007825534919747579e+00 2.982793761730117210e-04
2.457424979321498889e+06 1.007392616065082347e+00 2.982136551457881236e-04
2.457424981346689165e+06 1.007896746331146121e+00 2.982756291598200266e-04
2.457424983372238930e+06 1.007683631646431488e+00 2.982503178424126666e-04
2.457424985397428740e+06 1.007200993966833158e+00 2.981791276253261931e-04
2.457424987423358951e+06 1.006968561859712841e+00 2.981327950631380993e-04
2.457424989448538981e+06 1.007332215272608078e+00 2.981879607234725065e-04
2.457424991474098992e+06 1.007568857047179023e+00 2.982640309942706969e-04
2.457424993499279022e+06 1.007084013371735365e+00 2.981777419756935607e-04
2.457424995525208768e+06 1.007261914777086931e+00 2.981839025231150953e-04
2.457424997550388798e+06 1.007751691903221225e+00 2.982626336663100550e-04
2.457424999575948808e+06 1.007397602000979386e+00 2.982105853444372875e-04
