# JD, Flux, Uncertainty
2.457424770351129118e+06 1.007194370092932889e+00 3.178739962959313721e-04
2.457424772377058864e+06 1.008326302786066275e+00 3.180713935252507544e-04
2.457424774402238894e+06 1.007231048787378125e+00 3.179186928411445240e-04
2.457424776427798904e+06 1.007544279664089881e+00 3.179992157146731909e-04
2.457424778452988714e+06 1.007721009138086821e+00 3.180543031242008306e-04
2.457424780478909146e+06 1.007154250262747519e+00 3.179770685134916956e-04
2.457424782504098956e+06 1.007622608246818929e+00 3.180671122245861261e-04
2.457424784529648721e+06 1.007672451664494595e+00 3.180557617749593322e-04
2.457424786554838996e+06 1.007623670948555983e+00 3.180451357519658022e-04
2.457424788580758963e+06 1.007280142885331076e+00 3.179757353664226663e-04
2.457424790605948772e+06 1.008195868281072327e+00 3.181462176978172378e-04
2.457424792631499004e+06 1.007429702677176131e+00 3.180132419180020892e-04
2.457424794656688813e+06 1.007395002450106380e+00 3.180069042551489128e-04
2.457424796682608780e+06 1.006968331910594427e+00 3.179525233524159097e-04
2.457424798707799055e+06 1.007635906402626347e+00 3.180447810105617445e-04
2.457424800733359065e+06 1.007505866106802372e+00 3.180364431224525249e-04
2.457424836624469142e+06 9.927639268444354848e-01 3.156833144317452143e-04
2.457424838650018908e+06 9.925573725002589942e-01 3.156554134405836613e-04
2.457424840675208718e+06 9.925699779107156617e-01 3.156883211626436837e-04
2.457424842701129150e+06 9.923671309731164625e-01 3.156366695718132486e-04
2.457424844726318959e+06 9.921921898384856719e-01 3.156348318047055390e-04
2.457424846751868725e+06 9.919921824542710098e-01 3.156061762996120214e-04
2.457424848777059000e+06 9.918679626632943558e-01 3.155754371156724476e-04
2.457424850802988745e+06 9.921930345939320439e-01 3.156014372441566149e-04
2.457424852828168776e+06 9.921749529379408905e-01 3.156122434749993304e-04
2.457424854853728786e+06 9.922669121919956980e-01 3.156225907853779157e-04
2.457424856878908817e+06 9.917997535063746151e-01 3.155536768024064828e-04
2.457424858904839028e+06 9.915806023859874418e-01 3.155114582410576025e-04
2.457424860930019058e+06 9.923058156901534144e-01 3.156355075295726046e-04
2.457424862955579069e+06 9.919986800933751070e-01 3.155839703984945552e-04
2.457424864980759099e+06 9.916658072695665460e-01 3.155294667567943960e-04
2.457424867006688844e+06 9.915634306737167725e-01 3.155521552977249601e-04
2.457424902909278870e+06 9.913664868609972647e-01 3.154318531689598738e-04
2.457424904934469145e+06 9.916281120203185306e-01 3.155056975777214396e-04
2.457424906960389111e+06 9.916487878538952083e-01 3.155574993666804403e-04
2.457424908985578921e+06 9.921395084683458654e-01 3.156148156120404478e-04
2.457424911011129152e+06 9.922226150683250978e-01 3.156440096623986096e-04
2.457424913036318962e+06 9.924393187594880983e-01 3.156775657032821173e-04
2.457424915062238928e+06 9.917628881537673413e-01 3.155886968286751668e-04
2.457424917087428737e+06 9.922454603262574890e-01 3.156111524842177278e-04
2.457424919112988748e+06 9.918189819946305885e-01 3.155874748759005238e-04
2.457424921138168778e+06 9.923924447716557795e-01 3.156400284173957222e-04
2.457424923164098989e+06 9.925229640787331942e-01 3.156747969433302842e-04
2.457424925189279020e+06 9.929425253856043465e-01 3.157303366588468650e-04
2.457424927214839030e+06 9.927738649727982922e-01 3.157018903259412187e-04
2.457424931265948806e+06 9.940897506057173594e-01 3.159417394805090289e-04
2.457424933291128837e+06 9.960209414881814327e-01 3.162699317219718094e-04
2.457424971219649073e+06 1.007462629766832540e+00 3.179999508345476692e-04
2.457424973244838882e+06 1.007552718679129766e+00 3.180748144863759720e-04
2.457424975270389114e+06 1.007761866399607742e+00 3.180949704156060473e-04
2.457424977295578923e+06 1.007830951263869679e+00 3.181244276550295857e-04
2.457424979321498889e+06 1.008168250762500051e+00 3.181741315958127041e-04
2.457424981346689165e+06 1.007754205682831694e+00 3.180969242456276481e-04
2.457424983372238930e+06 1.008112756178052738e+00 3.181547880814656086e-04
2.457424985397428740e+06 1.008050933485210132e+00 3.181424240447976387e-04
2.457424987423358951e+06 1.007770834771966495e+00 3.180815393833320587e-04
2.457424989448538981e+06 1.007888513132417563e+00 3.181002741004571011e-04
2.457424991474098992e+06 1.008342341432334921e+00 3.182169139599360709e-04
2.457424993499279022e+06 1.007545989341357418e+00 3.180740538679738337e-04
2.457424995525208768e+06 1.007519034888628484e+00 3.180495341573969068e-04
2.457424997550388798e+06 1.007695635257069178e+00 3.180886536451484319e-04
2.457424999575948808e+06 1.008168143316967136e+00 3.181631098481529224e-04
