# JD, Flux, Uncertainty
2.457424770351129118e+06 1.007159037880959396e+00 3.008679146601123166e-04
2.457424772377058864e+06 1.007504371641468222e+00 3.009405930463918090e-04
2.457424774402238894e+06 1.007666974360607259e+00 3.009800337246380537e-04
2.457424776427798904e+06 1.007316113309688177e+00 3.009573905460737509e-04
2.457424778452988714e+06 1.007306075617734997e+00 3.009809736926768965e-04
2.457424780478909146e+06 1.007581924278361907e+00 3.010320124819554246e-04
2.457424782504098956e+06 1.007894511026245166e+00 3.010954978402693646e-04
2.457424784529648721e+06 1.007872257511504888e+00 3.010763895982448892e-04
2.457424786554838996e+06 1.007549612657605564e+00 3.010269462217437814e-04
2.457424788580758963e+06 1.007090398331337067e+00 3.009462000280135907e-04
2.457424790605948772e+06 1.006708880644965776e+00 3.009156828636093146e-04
2.457424792631499004e+06 1.007396517195448427e+00 3.010046961039011446e-04
2.457424794656688813e+06 1.007543857667129394e+00 3.010261912909358646e-04
2.457424796682608780e+06 1.006823761760844427e+00 3.009288197086801135e-04
2.457424798707799055e+06 1.006860534691719433e+00 3.009226149027765542e-04
2.457424800733359065e+06 1.007460527784937554e+00 3.010205512302817311e-04
2.457424836624469142e+06 9.934985588486209274e-01 2.989081083229300174e-04
2.457424838650018908e+06 9.933799384705304103e-01 2.988926060332743290e-04
2.457424840675208718e+06 9.925204244220353633e-01 2.987931715974869221e-04
2.457424842701129150e+06 9.924960003775050721e-01 2.987701432413514659e-04
2.457424844726318959e+06 9.926024249430670521e-01 2.988102555439128469e-04
2.457424846751868725e+06 9.923156319382806512e-01 2.987690962265350937e-04
2.457424848777059000e+06 9.920714082933471678e-01 2.987226620188441128e-04
2.457424850802988745e+06 9.919974899741371699e-01 2.986890320168319340e-04
2.457424852828168776e+06 9.919256569068082285e-01 2.986908182456666995e-04
2.457424854853728786e+06 9.920936044657217012e-01 2.987126798599777991e-04
2.457424856878908817e+06 9.922341232039485481e-01 2.987362905202181466e-04
2.457424858904839028e+06 9.915767515147909661e-01 2.986338202329819839e-04
2.457424860930019058e+06 9.918619538938751035e-01 2.986862700743137628e-04
2.457424862955579069e+06 9.917708144403604154e-01 2.986673775668756241e-04
2.457424864980759099e+06 9.919073983933632821e-01 2.986867955945147948e-04
2.457424867006688844e+06 9.911550610977700737e-01 2.986087953267498366e-04
2.457424902909278870e+06 9.919304011159953971e-01 2.986462472020254104e-04
2.457424904934469145e+06 9.924944180289018147e-01 2.987596909138098378e-04
2.457424906960389111e+06 9.920948880856020891e-01 2.987462529539878500e-04
2.457424908985578921e+06 9.920684621167902284e-01 2.987229764657927896e-04
2.457424911011129152e+06 9.920899619342188336e-01 2.987398607589104513e-04
2.457424913036318962e+06 9.917888694250619475e-01 2.986950146672829850e-04
2.457424915062238928e+06 9.917409636173217802e-01 2.987040005907731495e-04
2.457424917087428737e+06 9.921510630200347514e-01 2.987146780669162546e-04
2.457424919112988748e+06 9.923707557977688998e-01 2.987850905293837735e-04
2.457424921138168778e+06 9.928282487291270053e-01 2.988175858443869949e-04
2.457424923164098989e+06 9.921800307334608382e-01 2.987355602224332817e-04
2.457424925189279020e+06 9.925871273731353694e-01 2.987850995582594566e-04
2.457424927214839030e+06 9.932014699930422630e-01 2.988766582021422065e-04
2.457424931265948806e+06 9.942355326057835674e-01 2.990610722782190969e-04
2.457424933291128837e+06 9.963602847980436161e-01 2.994004608569156311e-04
2.457424971219649073e+06 1.008124720475664038e+00 3.010972746021633897e-04
2.457424973244838882e+06 1.007557233286186626e+00 3.010686867740253289e-04
2.457424975270389114e+06 1.007757596242211395e+00 3.010851529754979728e-04
2.457424977295578923e+06 1.007808402584204011e+00 3.011094581275695512e-04
2.457424979321498889e+06 1.007369979760923240e+00 3.010422906862156669e-04
2.457424981346689165e+06 1.007283086780742076e+00 3.010181972401586780e-04
2.457424983372238930e+06 1.008545126612589993e+00 3.012022523139383317e-04
2.457424985397428740e+06 1.008195082821332411e+00 3.011477661385757935e-04
2.457424987423358951e+06 1.007996179583206864e+00 3.011005914662312445e-04
2.457424989448538981e+06 1.007573102898077888e+00 3.010397133089456716e-04
2.457424991474098992e+06 1.007647485941776111e+00 3.010929120536934571e-04
2.457424993499279022e+06 1.007775852363445690e+00 3.010939800467375021e-04
2.457424995525208768e+06 1.008044297588473803e+00 3.011150601568884965e-04
2.457424997550388798e+06 1.007552016068853584e+00 3.010535581692357315e-04
2.457424999575948808e+06 1.007504762073301752e+00 3.010490448662843095e-04
