# JD, Flux, Uncertainty
2.457424770351129118e+06 1.007423137388986367e+00 2.993716581745561878e-04
2.457424772377058864e+06 1.007947942191407709e+00 2.994827928090721390e-04
2.457424774402238894e+06 1.007442799492302310e+00 2.994278940414230386e-04
2.457424776427798904e+06 1.008230259929095984e+00 2.995660674502507591e-04
2.457424778452988714e+06 1.007393822012781603e+00 2.994785744909178853e-04
2.457424780478909146e+06 1.007561647180189590e+00 2.995138960016008800e-04
2.457424782504098956e+06 1.007224970476194637e+00 2.994906565413364545e-04
2.457424784529648721e+06 1.007297261710492275e+00 2.995378772603874361e-04
2.457424786554838996e+06 1.007328986591009112e+00 2.995762054643640753e-04
2.457424788580758963e+06 1.007220445696253464e+00 2.995587322383726995e-04
2.457424790605948772e+06 1.007010829399590968e+00 2.995679796435195036e-04
2.457424792631499004e+06 1.007002832881371601e+00 2.995658039836423116e-04
2.457424794656688813e+06 1.007703757534909483e+00 2.996674648751658575e-04
2.457424796682608780e+06 1.007117695655657785e+00 2.995801740812767118e-04
2.457424798707799055e+06 1.007246924859807935e+00 2.995696353984248655e-04
2.457424800733359065e+06 1.006518456845312048e+00 2.994617394947910296e-04
2.457424836624469142e+06 9.951917569915130768e-01 2.974965412476529374e-04
2.457424838650018908e+06 9.933914473465274009e-01 2.972293207809153224e-04
2.457424840675208718e+06 9.931300700131070469e-01 2.972122339365935529e-04
2.457424842701129150e+06 9.922998195164934865e-01 2.970844704445263018e-04
2.457424844726318959e+06 9.924930791143734554e-01 2.971316920000806219e-04
2.457424846751868725e+06 9.920431908601166082e-01 2.970748620216169381e-04
2.457424848777059000e+06 9.919243435267178777e-01 2.970630337566338526e-04
2.457424850802988745e+06 9.920472907752369007e-01 2.971058889969512310e-04
2.457424852828168776e+06 9.917223845756777401e-01 2.970948347160325934e-04
2.457424854853728786e+06 9.922948078132228789e-01 2.972042250800259293e-04
2.457424856878908817e+06 9.922539899101948668e-01 2.972227329047769963e-04
2.457424858904839028e+06 9.923010448777596082e-01 2.972052284473714642e-04
2.457424860930019058e+06 9.919081332516198612e-01 2.971736849457078675e-04
2.457424862955579069e+06 9.918083263246906256e-01 2.971276746121655579e-04
2.457424864980759099e+06 9.919967440730936836e-01 2.971465420841855679e-04
2.457424867006688844e+06 9.914779415002830110e-01 2.970922496922918476e-04
2.457424902909278870e+06 9.922405706650103685e-01 2.968830627059397347e-04
2.457424904934469145e+06 9.923572575477909163e-01 2.969084196778797665e-04
2.457424906960389111e+06 9.939520402761821138e-01 2.971879337350501887e-04
2.457424908985578921e+06 9.916042554998066860e-01 2.968318237207632072e-04
2.457424911011129152e+06 9.922469571061025562e-01 2.969528860243412561e-04
2.457424913036318962e+06 9.923048798204447962e-01 2.969563971164143720e-04
2.457424915062238928e+06 9.915313061885916435e-01 2.968766686492131006e-04
2.457424917087428737e+06 9.917129482661449780e-01 2.969193972454662114e-04
2.457424919112988748e+06 9.925261953978455898e-01 2.971002637422784625e-04
2.457424921138168778e+06 9.921585118175364482e-01 2.970326025458995935e-04
2.457424923164098989e+06 9.925155810969914505e-01 2.971039208557832326e-04
2.457424925189279020e+06 9.926538586141229192e-01 2.971297678676409798e-04
2.457424927214839030e+06 9.931089840612646880e-01 2.971865604102400340e-04
2.457424931265948806e+06 9.940260495047171796e-01 2.973495980695777777e-04
2.457424933291128837e+06 9.958955437436649571e-01 2.976231537802897240e-04
2.457424971219649073e+06 1.008245476531165030e+00 2.991401363190408932e-04
2.457424973244838882e+06 1.007352171878144631e+00 2.990547469274843677e-04
2.457424975270389114e+06 1.007330387676052874e+00 2.990560143352636799e-04
2.457424977295578923e+06 1.007572359857669353e+00 2.991171956164932755e-04
2.457424979321498889e+06 1.007695410817610826e+00 2.991290598344532848e-04
2.457424981346689165e+06 1.007622738800452833e+00 2.991100557851497752e-04
2.457424983372238930e+06 1.007685063420911575e+00 2.991698518874406432e-04
2.457424985397428740e+06 1.007779340012386893e+00 2.992075766592610969e-04
2.457424987423358951e+06 1.007039177978615418e+00 2.991141962408028600e-04
2.457424989448538981e+06 1.007669081995080873e+00 2.992131697263756911e-04
2.457424991474098992e+06 1.007433852313339706e+00 2.992241615367331612e-04
2.457424993499279022e+06 1.007709611800063687e+00 2.992615949829661006e-04
2.457424995525208768e+06 1.007498285258127568e+00 2.991994996005034840e-04
2.457424997550388798e+06 1.007470597790308675e+00 2.991759147856667533e-04
2.457424999575948808e+06 1.007105363947869536e+00 2.991035692857118861e-04
