# JD, Flux, Uncertainty
2.457424770351129118e+06 1.007376121511409206e+00 3.280186669853215903e-04
2.457424772377058864e+06 1.007778595797787169e+00 3.281065859187047682e-04
2.457424774402238894e+06 1.008201025860561151e+00 3.281934717322902814e-04
2.457424776427798904e+06 1.007686317398373665e+00 3.281425369761339309e-04
2.457424778452988714e+06 1.007570411665959842e+00 3.281540031985938854e-04
2.457424780478909146e+06 1.007544336737523194e+00 3.281615337470643865e-04
2.457424782504098956e+06 1.007718427462221067e+00 3.282074459382109560e-04
2.457424784529648721e+06 1.007964416266523777e+00 3.282316902266624553e-04
2.457424786554838996e+06 1.007948216557039478e+00 3.282294661025081297e-04
2.457424788580758963e+06 1.007582604245267577e+00 3.281544092725843451e-04
2.457424790605948772e+06 1.007580814961368532e+00 3.281867402337625291e-04
2.457424792631499004e+06 1.007560732711881624e+00 3.281705087194843138e-04
2.457424794656688813e+06 1.007781877376560331e+00 3.282037661091465009e-04
2.457424796682608780e+06 1.007450545163593558e+00 3.281626833298806963e-04
2.457424798707799055e+06 1.008154756822153830e+00 3.282620497262127941e-04
2.457424800733359065e+06 1.008339010580683537e+00 3.283030365702036294e-04
2.457424836624469142e+06 9.933477381838332620e-01 3.258150645664657503e-04
2.457424838650018908e+06 9.925652892416393369e-01 3.256939932494995211e-04
2.457424840675208718e+06 9.930684835331804461e-01 3.258071840646113780e-04
2.457424842701129150e+06 9.923981073255170315e-01 3.256790976467039789e-04
2.457424844726318959e+06 9.920003934062283646e-01 3.256410732541293197e-04
2.457424846751868725e+06 9.919989423968615938e-01 3.256449021901003924e-04
2.457424848777059000e+06 9.929804171863078066e-01 3.257917183363839451e-04
2.457424850802988745e+06 9.918612073279459151e-01 3.255890363045334788e-04
2.457424852828168776e+06 9.923681566592951198e-01 3.256856902563473968e-04
2.457424854853728786e+06 9.918798703221187729e-01 3.256046606804228138e-04
2.457424856878908817e+06 9.919064354461984978e-01 3.256165334880699444e-04
2.457424858904839028e+06 9.921282036387166769e-01 3.256413279392055167e-04
2.457424860930019058e+06 9.920657912566982484e-01 3.256430752548806953e-04
2.457424862955579069e+06 9.911032603475733449e-01 3.254812948850585065e-04
2.457424864980759099e+06 9.920182144760126830e-01 3.256278669830942486e-04
2.457424867006688844e+06 9.917162918568603880e-01 3.256180193838017047e-04
2.457424902909278870e+06 9.916965676726082757e-01 3.255108335718884271e-04
2.457424904934469145e+06 9.919258994948385588e-01 3.255824945597737634e-04
2.457424906960389111e+06 9.916574255855896691e-01 3.255890261959754452e-04
2.457424908985578921e+06 9.922864685399248597e-01 3.256709651296203377e-04
2.457424911011129152e+06 9.918393698402327985e-01 3.256156188382797927e-04
2.457424913036318962e+06 9.916975264261567169e-01 3.255922360198276874e-04
2.457424915062238928e+06 9.917311022559270883e-01 3.256155383214793717e-04
2.457424917087428737e+06 9.922013772442156432e-01 3.256380657629833310e-04
2.457424919112988748e+06 9.918297933898013730e-01 3.256246710123204130e-04
2.457424921138168778e+06 9.925328260889823007e-01 3.256997346976754052e-04
2.457424923164098989e+06 9.926300472199710567e-01 3.257301712199165409e-04
2.457424925189279020e+06 9.928880976905150035e-01 3.257619950200542390e-04
2.457424927214839030e+06 9.929430215376354729e-01 3.257692178738384953e-04
2.457424931265948806e+06 9.938310410431620001e-01 3.259476139065960111e-04
2.457424933291128837e+06 9.963404407314165878e-01 3.263781940003286034e-04
2.457424971219649073e+06 1.007596877798124568e+00 3.281290899282316115e-04
2.457424973244838882e+06 1.007100765673908827e+00 3.281117832479470402e-04
2.457424975270389114e+06 1.007582751170403412e+00 3.281774086410749972e-04
2.457424977295578923e+06 1.007662888337801821e+00 3.282094412527863047e-04
2.457424979321498889e+06 1.007426457998311209e+00 3.281684999234440515e-04
2.457424981346689165e+06 1.007302787215572648e+00 3.281350175393628267e-04
2.457424983372238930e+06 1.007307193976912263e+00 3.281373962438359124e-04
2.457424985397428740e+06 1.007827856667106836e+00 3.282200808571856913e-04
2.457424987423358951e+06 1.007540917297115479e+00 3.281557906551998993e-04
2.457424989448538981e+06 1.007191927544346832e+00 3.280991984880576320e-04
2.457424991474098992e+06 1.007706551542099982e+00 3.282307380177714004e-04
2.457424993499279022e+06 1.007433076817374040e+00 3.281666101392115764e-04
2.457424995525208768e+06 1.007227558780325438e+00 3.281123830290503499e-04
2.457424997550388798e+06 1.007792382020430866e+00 3.282157947307059141e-04
2.457424999575948808e+06 1.007623988675299564e+00 3.281877394014812523e-04
